champ,role,pickrate,winrate,banrate,rank,change
Galio,MID,2.86,51.4,1.8,irontogold,no change
Galio,SUPPORT,2.51,49.68,1.8,irontogold,no change
Gangplank,TOP,2.7,45.57,1.18,irontogold,no change
Gangplank,MID,0.58,46.37,1.18,irontogold,no change
Garen,TOP,7.9,51.64,6.84,irontogold,no change
Garen,MID,1.04,54.01,6.84,irontogold,no change
Gnar,TOP,4.9,49.58,4.52,irontogold,no change
Gragas,JUNGLE,1.5,47.68,0.28,irontogold,no change
Gragas,SUPPORT,0.38,46.21,0.28,irontogold,no change
Gragas,TOP,0.34,46.09,0.28,irontogold,no change
Graves,JUNGLE,3.02,46.09,1.53,irontogold,buff
Gwen,TOP,3.75,48.42,14.58,irontogold,no change
Gwen,MID,1.26,48.39,14.58,irontogold,no change
Gwen,JUNGLE,1.24,47.82,14.58,irontogold,no change
Hecarim,JUNGLE,2.65,46.14,4.88,irontogold,buff
Heimerdinger,MID,1.17,51.49,1.49,irontogold,no change
Heimerdinger,TOP,0.96,49.13,1.49,irontogold,no change
Heimerdinger,ADC,0.27,52.29,1.49,irontogold,no change
Illaoi,TOP,2.76,49.49,5.93,irontogold,no change
Irelia,TOP,5.14,46.43,10.92,irontogold,no change
Irelia,MID,3.88,46.38,10.92,irontogold,no change
Ivern,JUNGLE,0.9,48.22,0.27,irontogold,no change
Janna,SUPPORT,2.85,50.21,0.19,irontogold,no change
Jarvan IV,JUNGLE,1.87,49.48,0.19,irontogold,no change
Jax,TOP,4.38,49.43,4.2,irontogold,no change
Jax,JUNGLE,1.91,50,4.2,irontogold,no change
Jayce,MID,0.91,49.96,0.84,irontogold,no change
Jayce,TOP,2.42,47.18,0.84,irontogold,no change
Jhin,ADC,16.64,51.38,6.33,irontogold,no change
Jinx,ADC,15.58,49.99,6.31,irontogold,no change
Kai'Sa,ADC,21.35,49.49,9.73,irontogold,no change
Kalista,ADC,1.5,46.06,0.47,irontogold,no change
Kalista,TOP,0.3,44.2,0.47,irontogold,no change
Karma,SUPPORT,4.39,47.26,0.6,irontogold,no change
Karthus,MID,0.21,50.61,0.51,irontogold,no change
Karthus,JUNGLE,1.22,49.64,0.51,irontogold,no change
Kassadin,MID,2.85,48.11,4.4,irontogold,no change
Katarina,MID,8.97,50.16,13.42,irontogold,no change
Kayle,TOP,4.84,51.92,1.81,irontogold,no change
Kayle,MID,1.17,54.34,1.81,irontogold,no change
Kayn,JUNGLE,11.7,50.24,10.1,irontogold,no change
Kennen,MID,0.44,52.91,0.36,irontogold,no change
Kennen,TOP,1.72,48.98,0.36,irontogold,no change
Kha'Zix,JUNGLE,7.81,49.05,6.47,irontogold,no change
Kindred,JUNGLE,4.65,48.33,1.47,irontogold,no change
Kled,MID,0.34,54.97,1.12,irontogold,no change
Kled,TOP,1.85,51.2,1.12,irontogold,no change
Kog'Maw,ADC,3.3,51.2,0.76,irontogold,no change
LeBlanc,MID,4.06,47.91,4.57,irontogold,no change
Lee Sin,JUNGLE,14.66,48.18,19.1,irontogold,nerf
Lee Sin,TOP,4.41,48.13,19.1,irontogold,nerf
Leona,SUPPORT,11.96,51.65,26.48,irontogold,nerf
Lillia,JUNGLE,1.58,44.18,0.47,irontogold,no change
Lissandra,MID,1.44,49.23,0.35,irontogold,no change
Lucian,ADC,7.06,47.08,3.06,irontogold,no change
Lucian,MID,3.43,45.73,3.06,irontogold,no change
Lulu,SUPPORT,10.71,49.74,14.39,irontogold,no change
Lux,SUPPORT,13.71,49.85,6.85,irontogold,no change
Lux,MID,5.66,51.68,6.85,irontogold,no change
Malphite,TOP,5.2,51.78,7.54,irontogold,no change
Malphite,MID,1.35,51.89,7.54,irontogold,no change
Malphite,SUPPORT,1.61,47.86,7.54,irontogold,no change
Malzahar,MID,3.53,53.2,4.71,irontogold,no change
Maokai,SUPPORT,2.14,51.77,0.44,irontogold,no change
Maokai,TOP,0.64,51.56,0.44,irontogold,no change
Master Yi,JUNGLE,10.14,50.93,22.37,irontogold,tweak
Miss Fortune,ADC,12.28,51.67,2.19,irontogold,no change
Mordekaiser,TOP,9.56,51.42,13.24,irontogold,no change
Mordekaiser,MID,1.3,54.31,13.24,irontogold,no change
Mordekaiser,JUNGLE,1.3,52.44,13.24,irontogold,no change
Morgana,JUNGLE,7.48,53.54,56.95,irontogold,nerf
Morgana,SUPPORT,9.38,50.44,56.95,irontogold,nerf
Nami,SUPPORT,4.04,50.85,0.23,irontogold,no change
Nasus,TOP,6.08,51.96,7.02,irontogold,no change
Nautilus,SUPPORT,9.5,50.27,10.51,irontogold,tweak
Neeko,MID,2.26,50.67,0.81,irontogold,no change
Neeko,SUPPORT,0.99,49.01,0.81,irontogold,no change
Nidalee,JUNGLE,3.05,44.48,0.75,irontogold,no change
Nocturne,JUNGLE,7.09,50.49,6.34,irontogold,no change
Olaf,JUNGLE,1.78,46.4,1.8,irontogold,no change
Olaf,TOP,0.29,45.49,1.8,irontogold,no change
Orianna,MID,2.75,45.92,0.41,irontogold,no change
Ornn,TOP,3.96,53.09,1.16,irontogold,no change
Pantheon,MID,3.12,50.83,5.14,irontogold,no change
Pantheon,TOP,0.95,49.15,5.14,irontogold,no change
Pantheon,SUPPORT,2.9,46.5,5.14,irontogold,no change
Poppy,JUNGLE,1.75,50.06,0.98,irontogold,no change
Poppy,TOP,1.36,49.22,0.98,irontogold,no change
Pyke,SUPPORT,7.95,47.9,12.24,irontogold,no change
Qiyana,MID,3.43,46.5,2.09,irontogold,nerf
Quinn,MID,0.31,53.43,1.36,irontogold,no change
Quinn,TOP,1.71,49.03,1.36,irontogold,no change
Rakan,SUPPORT,3.19,49.57,0.23,irontogold,no change
Rammus,JUNGLE,3.47,51.74,9.06,irontogold,no change
Rek'Sai,JUNGLE,1.53,47.88,0.71,irontogold,no change
Rell,SUPPORT,2.25,49.65,2.75,irontogold,no change
Renekton,TOP,5.11,46.73,6.19,irontogold,no change
Renekton,MID,1.15,49.74,6.19,irontogold,no change
Rengar,TOP,0.79,48.24,1.36,irontogold,no change
Rengar,JUNGLE,2.51,44.86,1.36,irontogold,no change
Riven,TOP,4.25,48.83,1.52,irontogold,no change
Riven,MID,0.72,52.29,1.52,irontogold,no change
Rumble,JUNGLE,6.51,47.08,10.61,irontogold,nerf
Rumble,MID,1.15,51.24,10.61,irontogold,nerf
Rumble,TOP,1.73,47.21,10.61,irontogold,nerf
Ryze,MID,2.17,43.76,0.3,irontogold,buff
Ryze,TOP,0.75,43.94,0.3,irontogold,buff
Samira,ADC,11.83,50.22,34.13,irontogold,no change
Sejuani,JUNGLE,1.85,50.92,0.17,irontogold,no change
Senna,SUPPORT,12.81,49.92,16.06,irontogold,tweak
Senna,ADC,2.42,50.11,16.06,irontogold,tweak
Seraphine,SUPPORT,4.88,49.16,4.41,irontogold,buff
Sett,TOP,11.36,51.09,11.45,irontogold,no change
Sett,MID,2.02,53.86,11.45,irontogold,no change
Sett,SUPPORT,2.28,46.74,11.45,irontogold,no change
Shaco,JUNGLE,8.67,50.62,27.41,irontogold,nerf
Shaco,SUPPORT,1.84,51.88,27.41,irontogold,nerf
Shen,TOP,6.31,51.71,4.15,irontogold,no change
Shen,SUPPORT,0.78,49.69,4.15,irontogold,no change
Shyvana,JUNGLE,1.71,50.66,0.32,irontogold,no change
Shyvana,TOP,0.23,49.93,0.32,irontogold,no change
Singed,TOP,1.13,51.03,0.22,irontogold,tweak
Sion,TOP,2.87,52.4,0.39,irontogold,no change
Sivir,ADC,5.22,51.41,1.94,irontogold,no change
Skarner,JUNGLE,0.77,51.84,0.17,irontogold,no change
Sona,SUPPORT,2.06,51.49,0.1,irontogold,no change
Soraka,SUPPORT,3.89,50.37,0.55,irontogold,no change
Swain,MID,0.73,54.53,6.74,irontogold,no change
Swain,SUPPORT,4.75,51.2,6.74,irontogold,no change
Swain,ADC,0.83,54.96,6.74,irontogold,no change
Sylas,MID,10.32,48.74,13.25,irontogold,no change
Sylas,TOP,4.69,47.61,13.25,irontogold,no change
Syndra,MID,1.98,46.42,0.61,irontogold,no change
Tahm Kench,ADC,0.33,51.07,0.43,irontogold,no change
Tahm Kench,TOP,1.19,46.58,0.43,irontogold,no change
Tahm Kench,SUPPORT,0.55,43.28,0.43,irontogold,no change
Taliyah,SUPPORT,0.08,48.79,0.09,irontogold,no change
Taliyah,JUNGLE,0.61,46.99,0.09,irontogold,no change
Taliyah,MID,0.11,46.7,0.09,irontogold,no change
Talon,MID,4.58,48.5,4.47,irontogold,no change
Taric,SUPPORT,1.17,51.09,0.14,irontogold,no change
Teemo,TOP,5.4,50.56,7.35,irontogold,buff
Teemo,MID,0.7,52.38,7.35,irontogold,buff
Thresh,SUPPORT,12.83,48.77,8.18,irontogold,no change
Tristana,ADC,15.4,50.74,16.26,irontogold,no change
Trundle,JUNGLE,1.61,51.6,0.29,irontogold,no change
Trundle,TOP,0.75,51.6,0.29,irontogold,no change
Tryndamere,MID,0.67,51.96,3.99,irontogold,no change
Tryndamere,TOP,3.45,48.2,3.99,irontogold,no change
Tryndamere,JUNGLE,0.47,47.43,3.99,irontogold,no change
Twisted Fate,MID,2.72,46.63,0.25,irontogold,no change
Twitch,ADC,4.65,50.32,2.65,irontogold,no change
Twitch,JUNGLE,0.61,44.51,2.65,irontogold,no change
Udyr,JUNGLE,4.38,49.22,6.81,irontogold,no change
Urgot,TOP,6.78,53.06,9.36,irontogold,nerf
Varus,ADC,6.9,49.15,1.19,irontogold,no change
Vayne,ADC,11.54,50.74,11.43,irontogold,no change
Vayne,TOP,2.04,48.26,11.43,irontogold,no change
Veigar,MID,4.25,50.97,1.71,irontogold,no change
Veigar,SUPPORT,1.23,49.83,1.71,irontogold,no change
Vel'Koz,MID,2.01,50.96,1.19,irontogold,no change
Vel'Koz,SUPPORT,2.54,50.36,1.19,irontogold,no change
Vi,JUNGLE,3.41,51.44,0.58,irontogold,tweak
Viego,JUNGLE,7.12,49.31,12.96,irontogold,no change
Viego,MID,2.69,50.62,12.96,irontogold,no change
Viktor,MID,3.39,50.84,0.64,irontogold,no change
Vladimir,MID,4,50.77,6.01,irontogold,no change
Vladimir,TOP,2.23,47.78,6.01,irontogold,no change
Volibear,JUNGLE,5.6,52.23,6.69,irontogold,no change
Volibear,TOP,3.71,50.47,6.69,irontogold,no change
Warwick,JUNGLE,6.79,51.43,3.44,irontogold,no change
Warwick,TOP,0.9,50.13,3.44,irontogold,no change
Wukong,TOP,3.34,51.46,1.92,irontogold,no change
Wukong,MID,0.58,53.13,1.92,irontogold,no change
Wukong,JUNGLE,0.78,50.22,1.92,irontogold,no change
Xayah,ADC,3.65,47.38,0.4,irontogold,no change
Xerath,MID,3.68,51.15,4.98,irontogold,no change
Xerath,SUPPORT,5,51.16,4.98,irontogold,no change
Xin Zhao,JUNGLE,7.31,52.07,2.71,irontogold,no change
Yasuo,MID,13.13,51.56,27.21,irontogold,no change
Yasuo,TOP,2.87,51.92,27.21,irontogold,no change
Yasuo,ADC,2,51.37,27.21,irontogold,no change
Yone,MID,9.85,51.31,22.11,irontogold,no change
Yone,TOP,2.47,50.52,22.11,irontogold,no change
Yorick,TOP,2.34,51.34,2.72,irontogold,no change
Yuumi,SUPPORT,7.7,50.09,7.14,irontogold,no change
Zac,JUNGLE,3.79,52.37,1.03,irontogold,no change
Zed,MID,11.73,49.09,43.96,irontogold,no change
Ziggs,MID,1.28,49.43,0.19,irontogold,no change
Ziggs,ADC,0.25,51.8,0.19,irontogold,no change
Ziggs,SUPPORT,0.31,48.79,0.19,irontogold,no change
Zilean,MID,0.34,52.61,0.6,irontogold,no change
Zilean,SUPPORT,2.61,51.43,0.6,irontogold,no change
Zoe,MID,2.73,45.3,1.21,irontogold,no change
Zyra,SUPPORT,5.14,52.09,2.6,irontogold,no change
Aatrox,MID,0.53,53.22,4.31,irontogold,no change
Aatrox,TOP,4.43,48.38,4.31,irontogold,no change
Ahri,MID,5.14,50.36,1.83,irontogold,no change
Akali,MID,9.9,48.79,18.08,irontogold,no change
Akali,TOP,3.59,49.05,18.08,irontogold,no change
Alistar,SUPPORT,5.83,50.32,2.59,irontogold,no change
Amumu,JUNGLE,4.12,53.89,1.3,irontogold,no change
Anivia,MID,2.53,51.5,2.99,irontogold,no change
Anivia,SUPPORT,0.43,47.69,2.99,irontogold,no change
Annie,MID,2.4,52.49,1.3,irontogold,no change
Annie,SUPPORT,0.33,48.52,1.3,irontogold,no change
Aphelios,ADC,2.44,46.05,0.84,irontogold,tweak
Ashe,ADC,8.9,50.46,1.51,irontogold,no change
Aurelion Sol,MID,0.6,49.75,0.2,irontogold,no change
Azir,MID,1.27,43.92,0.2,irontogold,no change
Bard,SUPPORT,2.45,48.71,0.36,irontogold,no change
Blitzcrank,SUPPORT,6.66,50.25,14.29,irontogold,no change
Brand,SUPPORT,5.84,51.8,9.18,irontogold,no change
Brand,MID,1.21,52.58,9.18,irontogold,no change
Braum,SUPPORT,2.62,50.29,0.49,irontogold,no change
Caitlyn,ADC,12.35,48.79,8.32,irontogold,no change
Camille,TOP,3.62,49.94,2.25,irontogold,no change
Cassiopeia,TOP,0.23,50.04,0.84,irontogold,no change
Cassiopeia,MID,1.37,48.32,0.84,irontogold,no change
Cho'Gath,TOP,3.73,51.08,2.18,irontogold,no change
Cho'Gath,MID,0.66,51.96,2.18,irontogold,no change
Corki,MID,1.2,52.46,0.29,irontogold,no change
Darius,TOP,6.65,48.6,32.2,irontogold,no change
Diana,JUNGLE,7.4,51.27,17.54,irontogold,no change
Diana,MID,4.17,52.13,17.54,irontogold,no change
Dr. Mundo,TOP,1.83,51.3,2.61,irontogold,tweak
Dr. Mundo,JUNGLE,2.32,50.69,2.61,irontogold,tweak
Draven,ADC,3.45,48.33,3.45,irontogold,buff
Ekko,JUNGLE,4.48,50.5,3.52,irontogold,no change
Ekko,MID,3.57,50.2,3.52,irontogold,no change
Elise,JUNGLE,3.41,49.11,8.23,irontogold,no change
Evelynn,JUNGLE,4.16,49.28,6.3,irontogold,no change
Ezreal,ADC,22.21,49.07,6.68,irontogold,no change
Fiddlesticks,JUNGLE,3.87,51.02,2.88,irontogold,no change
Fiora,TOP,4.24,50.09,5.8,irontogold,no change
Fizz,MID,4.15,50.62,10.29,irontogold,no change
Galio,MID,2.61,50.97,1.48,irontogold,no change
Galio,SUPPORT,2.22,49.36,1.48,irontogold,no change
Gangplank,TOP,2.47,45.65,1.24,irontogold,no change
Gangplank,MID,0.48,47.12,1.24,irontogold,no change
Garen,TOP,7.15,51.39,5.61,irontogold,no change
Garen,MID,0.96,54.7,5.61,irontogold,no change
Gnar,TOP,4.69,49.19,4.06,irontogold,nerf
Gragas,JUNGLE,1.69,47.7,0.29,irontogold,no change
Gragas,SUPPORT,0.36,48.41,0.29,irontogold,no change
Gragas,TOP,0.41,46.34,0.29,irontogold,no change
Graves,JUNGLE,4.52,48.95,1.81,irontogold,no change
Gwen,TOP,4.03,48.42,12.9,irontogold,no change
Gwen,MID,0.88,48.71,12.9,irontogold,no change
Gwen,JUNGLE,0.98,48.79,12.9,irontogold,no change
Hecarim,JUNGLE,4.04,47.63,4.85,irontogold,buff
Heimerdinger,MID,1.14,51.81,1.45,irontogold,no change
Heimerdinger,ADC,0.25,53.24,1.45,irontogold,no change
Heimerdinger,TOP,0.89,49.62,1.45,irontogold,no change
Illaoi,TOP,2.85,49.88,5.93,irontogold,buff
Irelia,TOP,5.04,46.17,10.61,irontogold,no change
Irelia,MID,3.85,46.31,10.61,irontogold,no change
Ivern,JUNGLE,0.93,48.11,0.28,irontogold,no change
Janna,SUPPORT,3,49.9,0.19,irontogold,no change
Jarvan IV,JUNGLE,1.9,49.75,0.19,irontogold,buff
Jax,TOP,4.7,49.51,4.39,irontogold,no change
Jax,JUNGLE,1.96,50.29,4.39,irontogold,no change
Jayce,MID,0.99,49.6,0.89,irontogold,no change
Jayce,TOP,2.44,47.33,0.89,irontogold,no change
Jhin,ADC,16.1,51.03,6.05,irontogold,no change
Jinx,ADC,13.47,49.7,4.11,irontogold,no change
Kai'Sa,ADC,21.5,49.3,10.04,irontogold,no change
Kalista,TOP,0.21,45.06,0.38,irontogold,no change
Kalista,ADC,1.43,45.71,0.38,irontogold,no change
Karma,SUPPORT,5.04,47.53,0.66,irontogold,no change
Karthus,MID,0.21,50.4,0.61,irontogold,no change
Karthus,JUNGLE,1.32,49.73,0.61,irontogold,no change
Kassadin,MID,2.85,48.36,4.54,irontogold,no change
Katarina,MID,9.16,50.17,14.63,irontogold,no change
Kayle,MID,0.95,54.58,1.48,irontogold,no change
Kayle,TOP,3.68,51.45,1.48,irontogold,no change
Kayn,JUNGLE,12.03,50.44,10.93,irontogold,no change
Kennen,MID,0.38,51.52,0.31,irontogold,no change
Kennen,TOP,1.44,49.63,0.31,irontogold,no change
Kha'Zix,JUNGLE,8.46,49.22,7.9,irontogold,no change
Kindred,JUNGLE,4.76,48.79,1.94,irontogold,no change
Kled,MID,0.35,53.59,1.17,irontogold,no change
Kled,TOP,1.9,50.73,1.17,irontogold,no change
Kog'Maw,ADC,3.64,51.11,1.16,irontogold,no change
LeBlanc,MID,4.22,48.18,4.81,irontogold,no change
Lee Sin,JUNGLE,14.64,48.2,22.01,irontogold,no change
Lee Sin,TOP,3.17,47.87,22.01,irontogold,no change
Leona,SUPPORT,11.54,51.02,26.51,irontogold,no change
Lillia,JUNGLE,1.4,45,0.39,irontogold,no change
Lissandra,MID,1.49,49.39,0.37,irontogold,no change
Lucian,MID,3.35,45.82,3.15,irontogold,no change
Lucian,ADC,6.88,46.45,3.15,irontogold,no change
Lulu,SUPPORT,11.17,50.16,17.2,irontogold,no change
Lux,SUPPORT,13.26,50.28,6.65,irontogold,no change
Lux,MID,5.58,51.61,6.65,irontogold,no change
Malphite,TOP,4.93,51.21,6.99,irontogold,buff
Malphite,MID,1.32,51.34,6.99,irontogold,buff
Malphite,SUPPORT,1.56,48.4,6.99,irontogold,buff
Malzahar,MID,3.51,53.39,4.83,irontogold,no change
Maokai,SUPPORT,2.14,51.41,0.39,irontogold,no change
Maokai,TOP,0.58,51.03,0.39,irontogold,no change
Master Yi,JUNGLE,10.63,51.65,22.7,irontogold,no change
Miss Fortune,ADC,12.03,51.47,2.19,irontogold,no change
Mordekaiser,TOP,10.8,51.01,15.73,irontogold,no change
Mordekaiser,MID,1.53,53.85,15.73,irontogold,no change
Morgana,SUPPORT,10.49,50.33,48.77,irontogold,no change
Morgana,JUNGLE,3.5,50.43,48.77,irontogold,no change
Nami,SUPPORT,4.03,51.49,0.21,irontogold,no change
Nasus,TOP,6.96,53.7,7.69,irontogold,nerf
Nautilus,SUPPORT,9.42,49.68,12.1,irontogold,no change
Nautilus,JUNGLE,1.51,48.56,12.1,irontogold,no change
Neeko,MID,2.2,50.55,0.81,irontogold,no change
Neeko,SUPPORT,0.92,48.19,0.81,irontogold,no change
Nidalee,JUNGLE,3.26,44.52,0.85,irontogold,no change
Nocturne,JUNGLE,6.71,50.68,6.67,irontogold,no change
Olaf,JUNGLE,1.62,46.82,1.54,irontogold,no change
Olaf,TOP,0.27,45.29,1.54,irontogold,no change
Orianna,MID,2.6,46.9,0.38,irontogold,no change
Ornn,TOP,3.78,52.4,1.08,irontogold,no change
Pantheon,MID,3.1,50.6,4.72,irontogold,no change
Pantheon,TOP,0.95,49.02,4.72,irontogold,no change
Pantheon,SUPPORT,2.8,46.42,4.72,irontogold,no change
Poppy,JUNGLE,1.92,50.75,0.98,irontogold,no change
Poppy,TOP,1.38,48.24,0.98,irontogold,no change
Pyke,SUPPORT,7.84,48.14,12.21,irontogold,no change
Qiyana,MID,3.33,45.79,2.32,irontogold,no change
Quinn,MID,0.29,51.1,1.33,irontogold,no change
Quinn,TOP,1.61,49.17,1.33,irontogold,no change
Rakan,SUPPORT,3.01,49.18,0.22,irontogold,no change
Rammus,JUNGLE,3.02,50.36,7.81,irontogold,buff
Rek'Sai,JUNGLE,1.58,47.52,0.81,irontogold,no change
Rell,SUPPORT,1.99,49.68,2.19,irontogold,no change
Renekton,TOP,5.63,46.45,6.27,irontogold,nerf
Renekton,MID,1.29,49.1,6.27,irontogold,nerf
Rengar,TOP,0.81,48.06,1.46,irontogold,no change
Rengar,JUNGLE,2.47,44.89,1.46,irontogold,no change
Riven,TOP,4.66,49.13,1.79,irontogold,no change
Riven,MID,0.77,52.61,1.79,irontogold,no change
Rumble,MID,0.99,50.68,6.18,irontogold,no change
Rumble,JUNGLE,3.53,47.06,6.18,irontogold,no change
Rumble,TOP,1.31,46.94,6.18,irontogold,no change
Ryze,MID,2.58,45.9,0.31,irontogold,no change
Ryze,TOP,0.85,45.59,0.31,irontogold,no change
Samira,ADC,11.53,50.1,36.42,irontogold,no change
Sejuani,JUNGLE,2.25,50.95,0.21,irontogold,no change
Senna,SUPPORT,12.72,48.77,15.53,irontogold,no change
Senna,ADC,2.36,49.42,15.53,irontogold,no change
Seraphine,SUPPORT,5.39,50.05,4,irontogold,no change
Sett,TOP,11.72,50.79,13.89,irontogold,no change
Sett,MID,2.1,53.52,13.89,irontogold,no change
Sett,SUPPORT,2.24,46.61,13.89,irontogold,no change
Shaco,JUNGLE,9.01,50.45,30.43,irontogold,no change
Shaco,SUPPORT,1.65,51,30.43,irontogold,no change
Shen,TOP,5.56,51.29,3.29,irontogold,no change
Shen,SUPPORT,0.71,48.72,3.29,irontogold,no change
Shyvana,JUNGLE,1.73,50.7,0.37,irontogold,no change
Shyvana,TOP,0.23,48.23,0.37,irontogold,no change
Singed,TOP,1.33,51.53,0.27,irontogold,no change
Sion,TOP,2.7,51.16,0.33,irontogold,no change
Sivir,ADC,4.56,51.21,1.65,irontogold,no change
Skarner,JUNGLE,0.77,52.58,0.17,irontogold,no change
Sona,SUPPORT,2.11,52.03,0.1,irontogold,no change
Soraka,SUPPORT,4.75,51.14,0.69,irontogold,no change
Swain,MID,0.69,53.7,6.09,irontogold,no change
Swain,SUPPORT,4.59,51.37,6.09,irontogold,no change
Swain,ADC,0.73,54.22,6.09,irontogold,no change
Sylas,MID,12.19,48.68,16.63,irontogold,no change
Sylas,TOP,5.4,47.79,16.63,irontogold,no change
Syndra,MID,1.89,45.85,0.63,irontogold,no change
Tahm Kench,TOP,1.07,46.46,0.41,irontogold,no change
Tahm Kench,ADC,0.25,48.66,0.41,irontogold,no change
Tahm Kench,SUPPORT,0.46,43.83,0.41,irontogold,no change
Taliyah,MID,0.1,50.13,0.1,irontogold,no change
Taliyah,SUPPORT,0.09,49.72,0.1,irontogold,no change
Taliyah,JUNGLE,0.58,48.3,0.1,irontogold,no change
Talon,MID,4.65,48.76,4.52,irontogold,tweak
Taric,SUPPORT,1.2,50.74,0.14,irontogold,no change
Teemo,TOP,5.54,50.79,7.27,irontogold,no change
Thresh,SUPPORT,12.48,48.34,8.14,irontogold,no change
Tristana,ADC,14.37,50.2,15.45,irontogold,no change
Trundle,JUNGLE,1.77,51.84,0.32,irontogold,no change
Trundle,TOP,0.94,51.72,0.32,irontogold,no change
Tryndamere,TOP,3.66,48.15,4,irontogold,no change
Tryndamere,MID,0.86,51.21,4,irontogold,no change
Tryndamere,JUNGLE,0.51,47.17,4,irontogold,no change
Twisted Fate,MID,2.57,46.98,0.24,irontogold,no change
Twitch,ADC,4.96,50.2,2.59,irontogold,no change
Twitch,JUNGLE,0.62,44.16,2.59,irontogold,no change
Udyr,JUNGLE,4.11,49.23,5.75,irontogold,nerf
Urgot,TOP,5.55,51.71,7.8,irontogold,no change
Varus,ADC,7.01,48.73,1.38,irontogold,nerf
Vayne,ADC,11.89,50.96,11.78,irontogold,no change
Vayne,TOP,2.04,47.92,11.78,irontogold,no change
Veigar,MID,4.43,51.14,1.7,irontogold,no change
Veigar,SUPPORT,1.22,49.56,1.7,irontogold,no change
Vel'Koz,MID,1.43,52.1,0.79,irontogold,no change
Vel'Koz,SUPPORT,2.41,50.47,0.79,irontogold,no change
Vi,JUNGLE,3.43,51.5,0.56,irontogold,no change
Viego,JUNGLE,7.23,49.24,13.37,irontogold,no change
Viego,MID,2.73,50.14,13.37,irontogold,no change
Viktor,MID,3.12,50.97,0.6,irontogold,no change
Vladimir,MID,3.76,50.61,5.77,irontogold,no change
Vladimir,TOP,1.45,50.08,5.77,irontogold,no change
Volibear,JUNGLE,5.11,51.68,6.27,irontogold,no change
Volibear,TOP,3.94,49.63,6.27,irontogold,no change
Warwick,JUNGLE,7.42,52.34,4.11,irontogold,no change
Warwick,TOP,1.07,50.6,4.11,irontogold,no change
Wukong,TOP,5.07,53.44,4.35,irontogold,nerf
Wukong,MID,0.78,55.9,4.35,irontogold,nerf
Wukong,JUNGLE,1.37,52.32,4.35,irontogold,nerf
Xayah,ADC,3.51,47.89,0.45,irontogold,no change
Xerath,MID,3.5,51.34,5.46,irontogold,no change
Xerath,SUPPORT,5.07,50.81,5.46,irontogold,no change
Xin Zhao,JUNGLE,8.73,52,4.6,irontogold,no change
Yasuo,MID,13.28,51.61,27.28,irontogold,no change
Yasuo,TOP,2.93,51.76,27.28,irontogold,no change
Yasuo,ADC,1.97,51.29,27.28,irontogold,no change
Yone,MID,9.74,51.25,20.32,irontogold,no change
Yone,TOP,2.56,50.77,20.32,irontogold,no change
Yorick,TOP,2.3,52.07,2.11,irontogold,no change
