champ,role,winrate,banrate,pickrate,change,rank
Renekton,MID,49.74,6.19,1.15,no change,irontogold
Rengar,TOP,48.24,1.36,0.79,no change,irontogold
Rengar,JUNGLE,44.86,1.36,2.51,no change,irontogold
Riven,TOP,48.83,1.52,4.25,no change,irontogold
Riven,MID,52.29,1.52,0.72,no change,irontogold
Rumble,JUNGLE,47.08,10.61,6.51,nerf,irontogold
Rumble,MID,51.24,10.61,1.15,nerf,irontogold
Rumble,TOP,47.21,10.61,1.73,nerf,irontogold
Ryze,MID,43.76,0.3,2.17,buff,irontogold
Ryze,TOP,43.94,0.3,0.75,buff,irontogold
Samira,ADC,50.22,34.13,11.83,no change,irontogold
Sejuani,JUNGLE,50.92,0.17,1.85,no change,irontogold
Senna,SUPPORT,49.92,16.06,12.81,tweak,irontogold
Senna,ADC,50.11,16.06,2.42,tweak,irontogold
Seraphine,SUPPORT,49.16,4.41,4.88,buff,irontogold
Sett,TOP,51.09,11.45,11.36,no change,irontogold
Sett,MID,53.86,11.45,2.02,no change,irontogold
Sett,SUPPORT,46.74,11.45,2.28,no change,irontogold
Shaco,JUNGLE,50.62,27.41,8.67,nerf,irontogold
Shaco,SUPPORT,51.88,27.41,1.84,nerf,irontogold
Shen,TOP,51.71,4.15,6.31,no change,irontogold
Shen,SUPPORT,49.69,4.15,0.78,no change,irontogold
Shyvana,JUNGLE,50.66,0.32,1.71,no change,irontogold
Shyvana,TOP,49.93,0.32,0.23,no change,irontogold
Singed,TOP,51.03,0.22,1.13,tweak,irontogold
Sion,TOP,52.4,0.39,2.87,no change,irontogold
Sivir,ADC,51.41,1.94,5.22,no change,irontogold
Skarner,JUNGLE,51.84,0.17,0.77,no change,irontogold
Sona,SUPPORT,51.49,0.1,2.06,no change,irontogold
Soraka,SUPPORT,50.37,0.55,3.89,no change,irontogold
Swain,MID,54.53,6.74,0.73,no change,irontogold
Swain,SUPPORT,51.2,6.74,4.75,no change,irontogold
Swain,ADC,54.96,6.74,0.83,no change,irontogold
Sylas,MID,48.74,13.25,10.32,no change,irontogold
Sylas,TOP,47.61,13.25,4.69,no change,irontogold
Syndra,MID,46.42,0.61,1.98,no change,irontogold
Tahm Kench,ADC,51.07,0.43,0.33,no change,irontogold
Tahm Kench,TOP,46.58,0.43,1.19,no change,irontogold
Tahm Kench,SUPPORT,43.28,0.43,0.55,no change,irontogold
Taliyah,SUPPORT,48.79,0.09,0.08,no change,irontogold
Taliyah,JUNGLE,46.99,0.09,0.61,no change,irontogold
Taliyah,MID,46.7,0.09,0.11,no change,irontogold
Talon,MID,48.5,4.47,4.58,no change,irontogold
Taric,SUPPORT,51.09,0.14,1.17,no change,irontogold
Teemo,TOP,50.56,7.35,5.4,buff,irontogold
Teemo,MID,52.38,7.35,0.7,buff,irontogold
Thresh,SUPPORT,48.77,8.18,12.83,no change,irontogold
Tristana,ADC,50.74,16.26,15.4,no change,irontogold
Trundle,JUNGLE,51.6,0.29,1.61,no change,irontogold
Trundle,TOP,51.6,0.29,0.75,no change,irontogold
Tryndamere,MID,51.96,3.99,0.67,no change,irontogold
Tryndamere,TOP,48.2,3.99,3.45,no change,irontogold
Tryndamere,JUNGLE,47.43,3.99,0.47,no change,irontogold
Twisted Fate,MID,46.63,0.25,2.72,no change,irontogold
Twitch,ADC,50.32,2.65,4.65,no change,irontogold
Twitch,JUNGLE,44.51,2.65,0.61,no change,irontogold
Udyr,JUNGLE,49.22,6.81,4.38,no change,irontogold
Urgot,TOP,53.06,9.36,6.78,nerf,irontogold
Varus,ADC,49.15,1.19,6.9,no change,irontogold
Vayne,ADC,50.74,11.43,11.54,no change,irontogold
Vayne,TOP,48.26,11.43,2.04,no change,irontogold
Veigar,MID,50.97,1.71,4.25,no change,irontogold
Veigar,SUPPORT,49.83,1.71,1.23,no change,irontogold
Vel'Koz,MID,50.96,1.19,2.01,no change,irontogold
Vel'Koz,SUPPORT,50.36,1.19,2.54,no change,irontogold
Vi,JUNGLE,51.44,0.58,3.41,tweak,irontogold
Viego,JUNGLE,49.31,12.96,7.12,no change,irontogold
Viego,MID,50.62,12.96,2.69,no change,irontogold
Viktor,MID,50.84,0.64,3.39,no change,irontogold
Vladimir,MID,50.77,6.01,4,no change,irontogold
Vladimir,TOP,47.78,6.01,2.23,no change,irontogold
Volibear,JUNGLE,52.23,6.69,5.6,no change,irontogold
Volibear,TOP,50.47,6.69,3.71,no change,irontogold
Warwick,JUNGLE,51.43,3.44,6.79,no change,irontogold
Warwick,TOP,50.13,3.44,0.9,no change,irontogold
Wukong,TOP,51.46,1.92,3.34,no change,irontogold
Wukong,MID,53.13,1.92,0.58,no change,irontogold
Wukong,JUNGLE,50.22,1.92,0.78,no change,irontogold
Xayah,ADC,47.38,0.4,3.65,no change,irontogold
Xerath,MID,51.15,4.98,3.68,no change,irontogold
Xerath,SUPPORT,51.16,4.98,5,no change,irontogold
Xin Zhao,JUNGLE,52.07,2.71,7.31,no change,irontogold
Yasuo,MID,51.56,27.21,13.13,no change,irontogold
Yasuo,TOP,51.92,27.21,2.87,no change,irontogold
Yasuo,ADC,51.37,27.21,2,no change,irontogold
Yone,MID,51.31,22.11,9.85,no change,irontogold
Yone,TOP,50.52,22.11,2.47,no change,irontogold
Yorick,TOP,51.34,2.72,2.34,no change,irontogold
Yuumi,SUPPORT,50.09,7.14,7.7,no change,irontogold
Zac,JUNGLE,52.37,1.03,3.79,no change,irontogold
Zed,MID,49.09,43.96,11.73,no change,irontogold
Ziggs,MID,49.43,0.19,1.28,no change,irontogold
Ziggs,ADC,51.8,0.19,0.25,no change,irontogold
Ziggs,SUPPORT,48.79,0.19,0.31,no change,irontogold
Zilean,MID,52.61,0.6,0.34,no change,irontogold
Zilean,SUPPORT,51.43,0.6,2.61,no change,irontogold
Zoe,MID,45.3,1.21,2.73,no change,irontogold
Zyra,SUPPORT,52.09,2.6,5.14,no change,irontogold
Aatrox,MID,53.22,4.31,0.53,no change,irontogold
Aatrox,TOP,48.38,4.31,4.43,no change,irontogold
Ahri,MID,50.36,1.83,5.14,no change,irontogold
Akali,MID,48.79,18.08,9.9,no change,irontogold
Akali,TOP,49.05,18.08,3.59,no change,irontogold
Alistar,SUPPORT,50.32,2.59,5.83,no change,irontogold
Amumu,JUNGLE,53.89,1.3,4.12,no change,irontogold
Anivia,MID,51.5,2.99,2.53,no change,irontogold
Anivia,SUPPORT,47.69,2.99,0.43,no change,irontogold
Annie,MID,52.49,1.3,2.4,no change,irontogold
Annie,SUPPORT,48.52,1.3,0.33,no change,irontogold
Aphelios,ADC,46.05,0.84,2.44,tweak,irontogold
Ashe,ADC,50.46,1.51,8.9,no change,irontogold
Aurelion Sol,MID,49.75,0.2,0.6,no change,irontogold
Azir,MID,43.92,0.2,1.27,no change,irontogold
Bard,SUPPORT,48.71,0.36,2.45,no change,irontogold
Blitzcrank,SUPPORT,50.25,14.29,6.66,no change,irontogold
Brand,SUPPORT,51.8,9.18,5.84,no change,irontogold
Brand,MID,52.58,9.18,1.21,no change,irontogold
Braum,SUPPORT,50.29,0.49,2.62,no change,irontogold
Caitlyn,ADC,48.79,8.32,12.35,no change,irontogold
Camille,TOP,49.94,2.25,3.62,no change,irontogold
Cassiopeia,TOP,50.04,0.84,0.23,no change,irontogold
Cassiopeia,MID,48.32,0.84,1.37,no change,irontogold
Cho'Gath,TOP,51.08,2.18,3.73,no change,irontogold
Cho'Gath,MID,51.96,2.18,0.66,no change,irontogold
Corki,MID,52.46,0.29,1.2,no change,irontogold
Darius,TOP,48.6,32.2,6.65,no change,irontogold
Diana,JUNGLE,51.27,17.54,7.4,no change,irontogold
Diana,MID,52.13,17.54,4.17,no change,irontogold
Dr. Mundo,TOP,51.3,2.61,1.83,tweak,irontogold
Dr. Mundo,JUNGLE,50.69,2.61,2.32,tweak,irontogold
Draven,ADC,48.33,3.45,3.45,buff,irontogold
Ekko,JUNGLE,50.5,3.52,4.48,no change,irontogold
Ekko,MID,50.2,3.52,3.57,no change,irontogold
Elise,JUNGLE,49.11,8.23,3.41,no change,irontogold
Evelynn,JUNGLE,49.28,6.3,4.16,no change,irontogold
Ezreal,ADC,49.07,6.68,22.21,no change,irontogold
Fiddlesticks,JUNGLE,51.02,2.88,3.87,no change,irontogold
Fiora,TOP,50.09,5.8,4.24,no change,irontogold
Fizz,MID,50.62,10.29,4.15,no change,irontogold
Galio,MID,50.97,1.48,2.61,no change,irontogold
Galio,SUPPORT,49.36,1.48,2.22,no change,irontogold
Gangplank,TOP,45.65,1.24,2.47,no change,irontogold
Gangplank,MID,47.12,1.24,0.48,no change,irontogold
Garen,TOP,51.39,5.61,7.15,no change,irontogold
Garen,MID,54.7,5.61,0.96,no change,irontogold
Gnar,TOP,49.19,4.06,4.69,nerf,irontogold
Gragas,JUNGLE,47.7,0.29,1.69,no change,irontogold
Gragas,SUPPORT,48.41,0.29,0.36,no change,irontogold
Gragas,TOP,46.34,0.29,0.41,no change,irontogold
Graves,JUNGLE,48.95,1.81,4.52,no change,irontogold
Gwen,TOP,48.42,12.9,4.03,no change,irontogold
Gwen,MID,48.71,12.9,0.88,no change,irontogold
Gwen,JUNGLE,48.79,12.9,0.98,no change,irontogold
Hecarim,JUNGLE,47.63,4.85,4.04,buff,irontogold
Heimerdinger,MID,51.81,1.45,1.14,no change,irontogold
Heimerdinger,ADC,53.24,1.45,0.25,no change,irontogold
Heimerdinger,TOP,49.62,1.45,0.89,no change,irontogold
Illaoi,TOP,49.88,5.93,2.85,buff,irontogold
Irelia,TOP,46.17,10.61,5.04,no change,irontogold
Irelia,MID,46.31,10.61,3.85,no change,irontogold
Ivern,JUNGLE,48.11,0.28,0.93,no change,irontogold
Janna,SUPPORT,49.9,0.19,3,no change,irontogold
Jarvan IV,JUNGLE,49.75,0.19,1.9,buff,irontogold
Jax,TOP,49.51,4.39,4.7,no change,irontogold
Jax,JUNGLE,50.29,4.39,1.96,no change,irontogold
Jayce,MID,49.6,0.89,0.99,no change,irontogold
Jayce,TOP,47.33,0.89,2.44,no change,irontogold
Jhin,ADC,51.03,6.05,16.1,no change,irontogold
Jinx,ADC,49.7,4.11,13.47,no change,irontogold
Kai'Sa,ADC,49.3,10.04,21.5,no change,irontogold
Kalista,TOP,45.06,0.38,0.21,no change,irontogold
Kalista,ADC,45.71,0.38,1.43,no change,irontogold
Karma,SUPPORT,47.53,0.66,5.04,no change,irontogold
Karthus,MID,50.4,0.61,0.21,no change,irontogold
Karthus,JUNGLE,49.73,0.61,1.32,no change,irontogold
Kassadin,MID,48.36,4.54,2.85,no change,irontogold
Katarina,MID,50.17,14.63,9.16,no change,irontogold
Kayle,MID,54.58,1.48,0.95,no change,irontogold
Kayle,TOP,51.45,1.48,3.68,no change,irontogold
Kayn,JUNGLE,50.44,10.93,12.03,no change,irontogold
Kennen,MID,51.52,0.31,0.38,no change,irontogold
Kennen,TOP,49.63,0.31,1.44,no change,irontogold
Kha'Zix,JUNGLE,49.22,7.9,8.46,no change,irontogold
Kindred,JUNGLE,48.79,1.94,4.76,no change,irontogold
Kled,MID,53.59,1.17,0.35,no change,irontogold
Kled,TOP,50.73,1.17,1.9,no change,irontogold
Kog'Maw,ADC,51.11,1.16,3.64,no change,irontogold
LeBlanc,MID,48.18,4.81,4.22,no change,irontogold
Lee Sin,JUNGLE,48.2,22.01,14.64,no change,irontogold
Lee Sin,TOP,47.87,22.01,3.17,no change,irontogold
Leona,SUPPORT,51.02,26.51,11.54,no change,irontogold
Lillia,JUNGLE,45,0.39,1.4,no change,irontogold
Lissandra,MID,49.39,0.37,1.49,no change,irontogold
Lucian,MID,45.82,3.15,3.35,no change,irontogold
Lucian,ADC,46.45,3.15,6.88,no change,irontogold
Lulu,SUPPORT,50.16,17.2,11.17,no change,irontogold
Lux,SUPPORT,50.28,6.65,13.26,no change,irontogold
Lux,MID,51.61,6.65,5.58,no change,irontogold
Malphite,TOP,51.21,6.99,4.93,buff,irontogold
Malphite,MID,51.34,6.99,1.32,buff,irontogold
Malphite,SUPPORT,48.4,6.99,1.56,buff,irontogold
Malzahar,MID,53.39,4.83,3.51,no change,irontogold
Maokai,SUPPORT,51.41,0.39,2.14,no change,irontogold
Maokai,TOP,51.03,0.39,0.58,no change,irontogold
Master Yi,JUNGLE,51.65,22.7,10.63,no change,irontogold
Miss Fortune,ADC,51.47,2.19,12.03,no change,irontogold
Mordekaiser,TOP,51.01,15.73,10.8,no change,irontogold
Mordekaiser,MID,53.85,15.73,1.53,no change,irontogold
Morgana,SUPPORT,50.33,48.77,10.49,no change,irontogold
Morgana,JUNGLE,50.43,48.77,3.5,no change,irontogold
Nami,SUPPORT,51.49,0.21,4.03,no change,irontogold
Nasus,TOP,53.7,7.69,6.96,nerf,irontogold
Nautilus,SUPPORT,49.68,12.1,9.42,no change,irontogold
Nautilus,JUNGLE,48.56,12.1,1.51,no change,irontogold
Neeko,MID,50.55,0.81,2.2,no change,irontogold
Neeko,SUPPORT,48.19,0.81,0.92,no change,irontogold
Nidalee,JUNGLE,44.52,0.85,3.26,no change,irontogold
Nocturne,JUNGLE,50.68,6.67,6.71,no change,irontogold
Olaf,JUNGLE,46.82,1.54,1.62,no change,irontogold
Olaf,TOP,45.29,1.54,0.27,no change,irontogold
Orianna,MID,46.9,0.38,2.6,no change,irontogold
Ornn,TOP,52.4,1.08,3.78,no change,irontogold
Pantheon,MID,50.6,4.72,3.1,no change,irontogold
Pantheon,TOP,49.02,4.72,0.95,no change,irontogold
Pantheon,SUPPORT,46.42,4.72,2.8,no change,irontogold
Poppy,JUNGLE,50.75,0.98,1.92,no change,irontogold
Poppy,TOP,48.24,0.98,1.38,no change,irontogold
Pyke,SUPPORT,48.14,12.21,7.84,no change,irontogold
Qiyana,MID,45.79,2.32,3.33,no change,irontogold
Quinn,MID,51.1,1.33,0.29,no change,irontogold
Quinn,TOP,49.17,1.33,1.61,no change,irontogold
Rakan,SUPPORT,49.18,0.22,3.01,no change,irontogold
Rammus,JUNGLE,50.36,7.81,3.02,buff,irontogold
Rek'Sai,JUNGLE,47.52,0.81,1.58,no change,irontogold
Rell,SUPPORT,49.68,2.19,1.99,no change,irontogold
Renekton,TOP,46.45,6.27,5.63,nerf,irontogold
Renekton,MID,49.1,6.27,1.29,nerf,irontogold
Rengar,TOP,48.06,1.46,0.81,no change,irontogold
Rengar,JUNGLE,44.89,1.46,2.47,no change,irontogold
Riven,TOP,49.13,1.79,4.66,no change,irontogold
Riven,MID,52.61,1.79,0.77,no change,irontogold
Rumble,MID,50.68,6.18,0.99,no change,irontogold
Rumble,JUNGLE,47.06,6.18,3.53,no change,irontogold
Rumble,TOP,46.94,6.18,1.31,no change,irontogold
Ryze,MID,45.9,0.31,2.58,no change,irontogold
Ryze,TOP,45.59,0.31,0.85,no change,irontogold
Samira,ADC,50.1,36.42,11.53,no change,irontogold
Sejuani,JUNGLE,50.95,0.21,2.25,no change,irontogold
Senna,SUPPORT,48.77,15.53,12.72,no change,irontogold
Senna,ADC,49.42,15.53,2.36,no change,irontogold
Seraphine,SUPPORT,50.05,4,5.39,no change,irontogold
Sett,TOP,50.79,13.89,11.72,no change,irontogold
Sett,MID,53.52,13.89,2.1,no change,irontogold
Sett,SUPPORT,46.61,13.89,2.24,no change,irontogold
Shaco,JUNGLE,50.45,30.43,9.01,no change,irontogold
Shaco,SUPPORT,51,30.43,1.65,no change,irontogold
Shen,TOP,51.29,3.29,5.56,no change,irontogold
Shen,SUPPORT,48.72,3.29,0.71,no change,irontogold
Shyvana,JUNGLE,50.7,0.37,1.73,no change,irontogold
Shyvana,TOP,48.23,0.37,0.23,no change,irontogold
Singed,TOP,51.53,0.27,1.33,no change,irontogold
Sion,TOP,51.16,0.33,2.7,no change,irontogold
Sivir,ADC,51.21,1.65,4.56,no change,irontogold
Skarner,JUNGLE,52.58,0.17,0.77,no change,irontogold
Sona,SUPPORT,52.03,0.1,2.11,no change,irontogold
Soraka,SUPPORT,51.14,0.69,4.75,no change,irontogold
Swain,MID,53.7,6.09,0.69,no change,irontogold
Swain,SUPPORT,51.37,6.09,4.59,no change,irontogold
Swain,ADC,54.22,6.09,0.73,no change,irontogold
Sylas,MID,48.68,16.63,12.19,no change,irontogold
Sylas,TOP,47.79,16.63,5.4,no change,irontogold
Syndra,MID,45.85,0.63,1.89,no change,irontogold
Tahm Kench,TOP,46.46,0.41,1.07,no change,irontogold
Tahm Kench,ADC,48.66,0.41,0.25,no change,irontogold
Tahm Kench,SUPPORT,43.83,0.41,0.46,no change,irontogold
Taliyah,MID,50.13,0.1,0.1,no change,irontogold
Taliyah,SUPPORT,49.72,0.1,0.09,no change,irontogold
Taliyah,JUNGLE,48.3,0.1,0.58,no change,irontogold
Talon,MID,48.76,4.52,4.65,tweak,irontogold
Taric,SUPPORT,50.74,0.14,1.2,no change,irontogold
Teemo,TOP,50.79,7.27,5.54,no change,irontogold
Thresh,SUPPORT,48.34,8.14,12.48,no change,irontogold
Tristana,ADC,50.2,15.45,14.37,no change,irontogold
Trundle,JUNGLE,51.84,0.32,1.77,no change,irontogold
Trundle,TOP,51.72,0.32,0.94,no change,irontogold
Tryndamere,TOP,48.15,4,3.66,no change,irontogold
Tryndamere,MID,51.21,4,0.86,no change,irontogold
Tryndamere,JUNGLE,47.17,4,0.51,no change,irontogold
Twisted Fate,MID,46.98,0.24,2.57,no change,irontogold
Twitch,ADC,50.2,2.59,4.96,no change,irontogold
Twitch,JUNGLE,44.16,2.59,0.62,no change,irontogold
Udyr,JUNGLE,49.23,5.75,4.11,nerf,irontogold
Urgot,TOP,51.71,7.8,5.55,no change,irontogold
Varus,ADC,48.73,1.38,7.01,nerf,irontogold
Vayne,ADC,50.96,11.78,11.89,no change,irontogold
Vayne,TOP,47.92,11.78,2.04,no change,irontogold
Veigar,MID,51.14,1.7,4.43,no change,irontogold
Veigar,SUPPORT,49.56,1.7,1.22,no change,irontogold
Vel'Koz,MID,52.1,0.79,1.43,no change,irontogold
Vel'Koz,SUPPORT,50.47,0.79,2.41,no change,irontogold
Vi,JUNGLE,51.5,0.56,3.43,no change,irontogold
Viego,JUNGLE,49.24,13.37,7.23,no change,irontogold
Viego,MID,50.14,13.37,2.73,no change,irontogold
Viktor,MID,50.97,0.6,3.12,no change,irontogold
Vladimir,MID,50.61,5.77,3.76,no change,irontogold
Vladimir,TOP,50.08,5.77,1.45,no change,irontogold
Volibear,JUNGLE,51.68,6.27,5.11,no change,irontogold
Volibear,TOP,49.63,6.27,3.94,no change,irontogold
Warwick,JUNGLE,52.34,4.11,7.42,no change,irontogold
Warwick,TOP,50.6,4.11,1.07,no change,irontogold
Wukong,TOP,53.44,4.35,5.07,nerf,irontogold
Wukong,MID,55.9,4.35,0.78,nerf,irontogold
Wukong,JUNGLE,52.32,4.35,1.37,nerf,irontogold
Xayah,ADC,47.89,0.45,3.51,no change,irontogold
Xerath,MID,51.34,5.46,3.5,no change,irontogold
Xerath,SUPPORT,50.81,5.46,5.07,no change,irontogold
Xin Zhao,JUNGLE,52,4.6,8.73,no change,irontogold
Yasuo,MID,51.61,27.28,13.28,no change,irontogold
Yasuo,TOP,51.76,27.28,2.93,no change,irontogold
Yasuo,ADC,51.29,27.28,1.97,no change,irontogold
Yone,MID,51.25,20.32,9.74,no change,irontogold
Yone,TOP,50.77,20.32,2.56,no change,irontogold
Yorick,TOP,52.07,2.11,2.3,no change,irontogold
