champ,role,winrate,banrate,pickrate
Kayn,JUNGLE,50.47,16.41,13.11
Kennen,MID,52.10,0.68,0.51
Kennen,TOP,49.44,0.68,2.15
Kha'Zix,JUNGLE,53.90,13.98,10.49
Kindred,JUNGLE,49.73,4.78,3.66
Kled,TOP,48.98,1.11,2.03
Kog'Maw,MID,49.35,0.51,0.35
Kog'Maw,ADC,50.08,0.45,2.38
LeBlanc,MID,47.20,10.51,8.08
Lee Sin,JUNGLE,49.60,17.41,14.96
Leona,SUPPORT,51.72,13.79,9.44
Lillia,JUNGLE,50.57,3.17,5.39
Lillia,TOP,53.11,3.40,2.38
Lissandra,MID,54.56,1.04,3.33
Lucian,ADC,49.68,2.74,15.88
Lucian,MID,45.26,2.76,2.16
Lulu,SUPPORT,52.54,29.20,13.63
Lux,MID,55.00,1.60,3.49
Lux,SUPPORT,47.31,1.60,6.40
Malphite,TOP,55.04,5.59,5.03
Malphite,MID,44.33,5.43,0.96
Malzahar,MID,59.61,4.76,3.64
Maokai,SUPPORT,53.33,0.23,1.61
Maokai,TOP,47.30,0.23,0.31
Master Yi,JUNGLE,48.45,8.68,5.98
Miss Fortune,ADC,49.60,0.94,11.66
Mordekaiser,TOP,48.57,11.91,9.28
Mordekaiser,JUNGLE,50.09,12.45,1.07
Morgana,SUPPORT,47.43,36.04,8.96
Nami,SUPPORT,52.84,0.70,11.90
Nasus,TOP,51.66,4.38,5.00
Nautilus,SUPPORT,50.71,10.34,7.75
Neeko,MID,49.19,0.23,1.22
Neeko,SUPPORT,46.67,0.25,0.44
Nidalee,JUNGLE,52.38,0.71,3.15
Nocturne,JUNGLE,53.66,5.65,4.75
Nunu,JUNGLE,48.06,0.83,2.99
Olaf,JUNGLE,47.58,1.81,1.99
Olaf,TOP,45.00,1.40,0.18
Orianna,MID,50.43,0.16,2.99
Ornn,TOP,58.11,0.56,3.57
Pantheon,MID,55.25,2.23,2.13
Pantheon,SUPPORT,50.49,2.23,1.80
Pantheon,TOP,50.94,2.23,0.82
Poppy,JUNGLE,50.57,0.80,1.91
Poppy,TOP,44.83,0.80,1.96
Pyke,SUPPORT,49.88,9.65,7.69
Qiyana,MID,48.37,6.54,3.78
Qiyana,JUNGLE,48.43,6.54,4.25
Quinn,TOP,51.32,0.56,1.46
Rakan,SUPPORT,47.50,0.35,5.38
Rammus,JUNGLE,47.65,2.79,1.98
Rek'Sai,JUNGLE,55.36,0.92,2.18
Rell,SUPPORT,52.95,1.04,2.87
Renekton,TOP,52.10,2.14,3.59
Renekton,MID,45.30,2.15,0.43
Rengar,JUNGLE,46.15,2.68,2.63
Rengar,TOP,49.59,1.70,0.87
Riven,TOP,49.08,3.44,6.34
Rumble,MID,54.82,0.28,0.78
Rumble,TOP,47.25,0.28,0.51
Rumble,JUNGLE,44.10,0.28,0.77
Ryze,MID,41.79,0.76,4.28
Ryze,TOP,49.63,0.60,0.82
Samira,ADC,48.97,25.29,10.15
Sejuani,JUNGLE,52.03,0.30,2.37
Senna,SUPPORT,52.52,3.49,6.63
Seraphine,SUPPORT,48.30,1.79,6.12
Seraphine,ADC,57.42,1.79,0.79
Seraphine,MID,51.41,1.79,0.81
Sett,TOP,52.29,14.43,11.22
Sett,SUPPORT,42.03,16.35,1.32
Shaco,JUNGLE,49.07,15.76,5.67
Shaco,SUPPORT,43.86,15.76,1.13
Shen,TOP,53.43,1.81,6.06
Shyvana,JUNGLE,50.48,0.35,2.16
Singed,TOP,45.16,0.45,2.41
Sion,TOP,46.55,0.39,4.07
Sivir,ADC,53.70,0.46,3.50
Skarner,JUNGLE,48.56,0.13,0.88
Sona,SUPPORT,57.66,0.78,4.69
Soraka,SUPPORT,54.34,11.25,9.33
Swain,SUPPORT,48.63,2.26,3.13
Swain,ADC,54.44,2.26,0.67
Swain,MID,47.26,2.26,0.51
Sylas,MID,49.21,7.27,9.51
Sylas,TOP,53.41,7.31,2.78
Syndra,MID,48.02,0.64,3.73
Tahm Kench,TOP,50.09,15.86,5.53
Taliyah,JUNGLE,53.76,0.55,1.72
Taliyah,MID,51.43,0.54,0.40
Taliyah,SUPPORT,43.14,0.51,0.22
Talon,JUNGLE,53.47,8.61,5.14
Talon,MID,49.52,6.56,2.89
Taric,SUPPORT,50.00,0.19,1.36
Teemo,TOP,50.10,2.10,3.95
Thresh,SUPPORT,48.56,8.34,11.71
Tristana,ADC,51.00,4.03,9.34
Trundle,JUNGLE,56.63,2.45,3.15
Trundle,TOP,49.00,2.45,2.45
Tryndamere,MID,61.08,8.26,1.99
Tryndamere,TOP,52.96,8.26,3.88
Twisted Fate,MID,49.75,0.19,3.72
Twitch,ADC,51.33,1.73,5.88
Udyr,JUNGLE,51.56,0.44,1.09
Urgot,TOP,55.04,1.66,3.86
Varus,ADC,46.65,0.22,2.71
Vayne,ADC,53.53,16.54,16.85
Veigar,MID,48.18,0.73,3.09
Veigar,ADC,46.46,0.73,0.69
Veigar,SUPPORT,40.06,0.73,0.65
Vel'Koz,SUPPORT,56.52,0.57,2.00
Vel'Koz,MID,51.58,0.63,1.13
Vex,MID,49.08,8.34,3.24
Vex,SUPPORT,45.94,6.26,0.43
Vi,JUNGLE,49.05,0.47,2.52
Viego,JUNGLE,46.35,17.90,8.22
Viktor,MID,50.88,0.45,3.15
Vladimir,MID,55.27,7.30,5.02
Vladimir,TOP,48.58,6.44,1.18
Volibear,TOP,49.66,2.12,2.64
Volibear,JUNGLE,47.87,2.12,2.54
Warwick,JUNGLE,49.46,1.52,3.48
Warwick,TOP,54.54,1.52,0.99
Wukong,TOP,50.37,2.07,3.22
Xayah,ADC,44.45,0.42,5.59
Xerath,MID,52.22,2.84,2.42
Xerath,SUPPORT,53.14,2.84,3.90
Xin Zhao,JUNGLE,51.87,10.62,6.37
Yasuo,MID,49.66,24.93,11.87
Yasuo,TOP,48.77,26.80,2.19
Yasuo,ADC,51.50,26.80,2.02
Yone,MID,52.17,22.79,12.25
Yone,TOP,51.63,22.85,4.68
Yorick,TOP,51.58,1.84,2.90
Yuumi,SUPPORT,50.34,25.10,12.46
Zac,JUNGLE,52.74,3.20,4.60
Zed,MID,49.47,47.14,9.61
Zed,JUNGLE,44.25,47.14,4.65
Ziggs,ADC,51.19,2.22,4.37
Ziggs,MID,51.06,2.46,1.05
Zilean,SUPPORT,49.36,0.89,3.17
Zilean,MID,50.51,0.86,0.37
Zoe,MID,47.02,1.16,3.24
Zyra,SUPPORT,48.80,2.69,4.65
