champ,role,winrate,banrate,pickrate
Rakan,SUPPORT,48.05,0.27,3.55
Rammus,JUNGLE,49.31,4.20,2.43
Rek'Sai,JUNGLE,44.91,0.46,1.40
Rell,SUPPORT,47.71,0.84,1.91
Renekton,MID,52.26,1.96,0.45
Renekton,TOP,46.01,1.91,3.16
Rengar,TOP,50.15,1.31,0.75
Rengar,JUNGLE,48.58,1.32,2.84
Riven,TOP,51.63,1.74,4.49
Rumble,MID,49.72,0.22,0.59
Rumble,JUNGLE,46.66,0.22,0.69
Rumble,TOP,44.11,0.22,0.45
Ryze,MID,43.95,0.59,3.45
Ryze,TOP,43.23,0.57,0.71
Samira,ADC,48.70,26.90,9.35
Sejuani,JUNGLE,51.09,0.33,2.17
Senna,SUPPORT,49.07,4.12,7.82
Senna,ADC,50.03,4.12,0.97
Seraphine,SUPPORT,49.00,2.13,5.82
Sett,TOP,51.09,18.67,12.47
Sett,SUPPORT,44.90,18.67,1.61
Shaco,JUNGLE,49.33,21.76,7.11
Shaco,SUPPORT,49.83,21.76,1.28
Shen,TOP,50.94,1.43,4.57
Shen,SUPPORT,51.17,1.49,0.59
Shyvana,JUNGLE,50.94,0.54,2.53
Singed,TOP,49.56,0.37,2.03
Sion,TOP,49.45,0.42,3.24
Sivir,ADC,51.62,1.15,4.28
Skarner,JUNGLE,51.18,0.14,0.74
Sona,SUPPORT,52.79,0.62,4.29
Soraka,SUPPORT,51.78,5.68,8.44
Swain,SUPPORT,49.42,5.21,4.73
Sylas,MID,49.80,6.14,7.23
Sylas,TOP,48.31,6.14,2.20
Syndra,MID,47.35,0.82,2.87
Tahm Kench,TOP,50.33,14.21,4.94
Taliyah,MID,48.36,0.36,0.29
Taliyah,SUPPORT,48.65,0.36,0.21
Taliyah,JUNGLE,47.23,0.33,0.99
Talon,JUNGLE,49.10,3.82,2.99
Talon,MID,46.25,3.82,3.11
Taric,SUPPORT,49.52,0.17,1.31
Teemo,TOP,50.62,7.25,6.96
Thresh,SUPPORT,47.18,3.84,9.24
Tristana,ADC,48.45,8.64,11.28
Trundle,JUNGLE,52.32,2.55,3.42
Trundle,TOP,49.40,2.55,2.19
Tryndamere,TOP,51.26,9.96,4.81
Tryndamere,MID,49.77,9.96,1.79
Twisted Fate,MID,44.86,0.16,2.72
Twitch,ADC,52.01,2.85,5.63
Udyr,JUNGLE,48.70,0.51,1.48
Urgot,TOP,51.56,3.57,5.02
Varus,ADC,48.65,0.45,3.14
Vayne,ADC,52.94,18.68,14.90
Vayne,TOP,49.05,18.68,1.87
Veigar,ADC,57.01,2.25,0.73
Veigar,MID,49.12,2.25,4.94
Veigar,SUPPORT,44.57,2.25,1.22
Vel'Koz,MID,50.05,0.97,1.09
Vel'Koz,SUPPORT,49.09,0.97,2.54
Vex,MID,48.83,3.42,1.63
Vex,TOP,41.82,3.70,0.27
Vex,SUPPORT,41.58,3.70,0.31
Vi,JUNGLE,49.62,1.01,3.55
Viego,JUNGLE,49.43,13.45,8.30
Viktor,MID,48.37,0.46,2.23
Vladimir,MID,50.57,3.74,3.50
Vladimir,TOP,47.40,4.09,0.92
Volibear,JUNGLE,50.37,3.00,3.73
Volibear,TOP,49.39,3.00,2.90
Warwick,JUNGLE,51.77,5.36,7.13
Warwick,TOP,50.56,5.36,0.98
Wukong,TOP,49.00,1.43,2.58
Wukong,JUNGLE,46.18,1.43,0.62
Xayah,ADC,48.46,0.68,4.91
Xerath,MID,51.43,4.26,2.18
Xerath,SUPPORT,50.41,4.26,4.22
Xin Zhao,JUNGLE,49.53,6.76,6.39
Yasuo,MID,50.37,30.63,15.28
Yasuo,TOP,50.15,30.63,2.75
Yasuo,ADC,49.96,30.63,2.40
Yone,MID,50.89,19.88,12.81
Yone,TOP,49.48,19.88,3.87
Yorick,TOP,53.20,3.96,4.01
Yuumi,SUPPORT,49.68,13.04,9.35
Zac,JUNGLE,49.76,1.96,3.60
Zed,MID,48.95,46.92,10.71
Zed,JUNGLE,48.57,46.92,2.76
Ziggs,MID,51.00,2.65,1.24
Ziggs,ADC,51.75,2.65,3.33
Zilean,SUPPORT,51.24,0.66,2.48
Zoe,MID,46.35,0.97,2.54
Zyra,SUPPORT,52.36,4.54,5.62
