,champ,role,winrate,banrate,pickrate
52,Hecarim,JUNGLE,50.75,11.98,8.60
53,Heimerdinger,MID,51.80,1.30,1.32
54,Heimerdinger,ADC,52.03,1.30,0.29
55,Heimerdinger,TOP,50.57,1.30,0.88
56,Illaoi,TOP,50.79,8.67,3.70
57,Irelia,TOP,46.93,7.40,6.53
58,Irelia,MID,46.31,7.40,4.43
59,Ivern,JUNGLE,51.35,0.72,2.20
60,Janna,SUPPORT,51.66,0.42,4.46
61,Jarvan IV,JUNGLE,48.93,0.30,2.37
62,Jax,TOP,49.85,7.84,4.96
63,Jax,JUNGLE,49.60,7.84,4.37
64,Jayce,MID,49.81,0.61,0.85
65,Jayce,TOP,47.97,0.61,2.20
66,Jhin,ADC,51.21,23.88,24.41
67,Jinx,ADC,49.54,0.73,6.46
68,Kai'Sa,ADC,50.73,4.36,19.78
69,Kalista,ADC,46.94,0.37,1.73
70,Kalista,TOP,44.74,0.37,0.30
71,Karma,SUPPORT,45.79,0.22,2.38
72,Karthus,MID,49.70,0.32,0.25
73,Karthus,JUNGLE,48.85,0.32,0.97
74,Kassadin,MID,48.66,2.79,2.65
75,Katarina,MID,48.71,15.07,11.54
76,Kayle,TOP,50.88,5.00,3.84
77,Kayle,MID,51.67,5.00,1.25
78,Kayn,JUNGLE,49.26,30.24,14.20
79,Kennen,MID,51.83,0.34,0.36
80,Kennen,TOP,49.90,0.34,1.55
81,Kha'Zix,JUNGLE,50.68,21.95,12.72
82,Kindred,JUNGLE,47.89,0.87,3.83
83,Kled,MID,53.35,0.93,0.22
84,Kled,TOP,50.31,0.93,1.56
85,Kog'Maw,ADC,49.45,0.15,1.08
86,Kog'Maw,MID,48.00,0.15,0.14
87,LeBlanc,MID,46.76,4.07,3.37
88,Lee Sin,JUNGLE,46.21,6.24,12.55
89,Leona,SUPPORT,51.29,25.18,10.64
90,Lillia,JUNGLE,48.16,1.90,3.92
91,Lissandra,MID,49.73,0.35,1.41
92,Lucian,ADC,47.81,7.47,13.66
93,Lucian,MID,47.50,7.47,4.71
94,Lucian,TOP,46.67,7.47,2.27
95,Lulu,SUPPORT,50.48,5.12,6.85
96,Lux,SUPPORT,49.45,6.11,13.25
97,Lux,MID,51.25,6.11,5.33
98,Malphite,TOP,53.43,21.12,8.81
99,Malphite,MID,53.60,21.12,2.03
100,Malphite,SUPPORT,49.71,21.12,3.62
101,Malzahar,MID,53.46,3.84,3.10
102,Malzahar,TOP,53.28,3.84,0.40
103,Maokai,SUPPORT,52.70,3.40,4.31
104,Maokai,TOP,51.63,3.40,1.63
105,Master Yi,JUNGLE,52.30,27.32,13.62
106,Miss Fortune,ADC,52.26,5.74,18.39
107,Mordekaiser,TOP,49.25,9.08,7.08
108,Mordekaiser,MID,52.42,9.08,1.02
109,Morgana,SUPPORT,50.04,34.74,12.04
110,Morgana,MID,53.09,34.74,1.69
111,Nami,SUPPORT,52.34,0.42,4.86
112,Nasus,TOP,52.65,4.28,5.77
113,Nautilus,SUPPORT,49.92,10.01,7.34
114,Neeko,MID,51.59,0.75,2.21
115,Neeko,TOP,50.99,0.75,0.40
116,Neeko,SUPPORT,48.84,0.75,0.87
117,Nidalee,JUNGLE,44.37,0.43,2.62
118,Nocturne,JUNGLE,49.14,1.59,3.55
119,Nunu & Willump,JUNGLE,52.42,5.95,6.57
120,Olaf,JUNGLE,50.66,6.35,4.90
121,Olaf,TOP,48.54,6.35,0.76
122,Orianna,MID,48.29,0.54,3.04
123,Ornn,TOP,51.80,2.70,5.05
124,Pantheon,MID,52.44,14.57,3.20
125,Pantheon,TOP,50.74,14.57,2.89
126,Pantheon,SUPPORT,47.94,14.57,5.67
127,Pantheon,JUNGLE,50.55,14.57,1.71
128,Poppy,JUNGLE,51.48,0.74,1.01
129,Poppy,TOP,48.84,0.74,1.97
130,Poppy,SUPPORT,47.81,0.74,0.37
131,Pyke,SUPPORT,46.80,12.90,8.41
132,Pyke,MID,50.66,12.90,1.37
133,Qiyana,MID,44.02,0.27,1.66
134,Quinn,TOP,50.20,1.97,2.39
135,Quinn,MID,51.77,1.97,0.40
136,Rakan,SUPPORT,48.85,0.26,3.37
137,Rammus,JUNGLE,53.89,8.67,4.40
138,Rek'Sai,JUNGLE,47.62,0.64,1.61
139,Rell,SUPPORT,49.37,6.81,5.42
140,Renekton,TOP,47.76,6.48,5.23
141,Renekton,MID,50.71,6.48,0.90
142,Rengar,TOP,48.55,1.51,1.10
143,Rengar,JUNGLE,45.55,1.51,3.19
144,Riven,TOP,47.08,1.19,4.57
145,Riven,MID,50.17,1.19,0.72
146,Rumble,MID,51.07,0.34,0.69
147,Rumble,TOP,46.83,0.34,1.10
148,Ryze,MID,46.34,0.30,2.17
149,Ryze,TOP,46.86,0.30,0.88
150,Samira,ADC,47.34,47.58,8.72
151,Sejuani,JUNGLE,50.26,0.29,1.99
152,Senna,ADC,48.84,2.36,2.06
153,Senna,SUPPORT,46.21,2.36,5.00
154,Seraphine,SUPPORT,51.40,8.04,6.48
155,Seraphine,MID,52.55,8.04,1.33
156,Sett,TOP,49.73,6.49,7.10
157,Sett,MID,52.65,6.49,1.25
158,Sett,SUPPORT,46.98,6.49,2.48
159,Shaco,SUPPORT,52.38,9.84,2.46
160,Shaco,JUNGLE,47.97,9.84,5.35
161,Shen,TOP,51.17,4.65,6.39
162,Shen,SUPPORT,48.07,4.65,0.86
163,Shyvana,TOP,49.82,0.28,0.21
164,Shyvana,JUNGLE,48.89,0.28,1.61
165,Singed,TOP,49.51,0.23,1.25
166,Sion,TOP,52.31,0.39,2.46
167,Sivir,ADC,48.41,0.16,1.61
168,Skarner,JUNGLE,53.21,0.22,1.07
169,Sona,SUPPORT,52.04,0.15,2.22
170,Soraka,SUPPORT,49.22,0.70,3.93
171,Swain,MID,55.11,6.89,1.00
172,Swain,SUPPORT,52.46,6.89,5.20
173,Sylas,MID,48.55,5.17,5.67
174,Sylas,TOP,47.59,5.17,2.37
175,Syndra,MID,47.45,1.08,2.30
176,Tahm Kench,TOP,48.14,0.48,0.95
177,Tahm Kench,SUPPORT,43.94,0.48,0.56
178,Taliyah,JUNGLE,48.59,0.87,2.18
179,Taliyah,MID,45.98,0.87,0.34
180,Talon,MID,47.40,1.23,3.20
181,Taric,SUPPORT,50.86,0.18,1.14
182,Teemo,TOP,52.46,10.87,7.38
183,Thresh,SUPPORT,49.23,3.99,11.91
184,Tristana,ADC,51.31,2.91,9.71
185,Trundle,TOP,49.48,0.18,0.39
186,Trundle,JUNGLE,48.38,0.18,1.02
187,Tryndamere,MID,52.00,2.74,0.50
188,Tryndamere,TOP,47.80,2.74,3.20
189,Tryndamere,JUNGLE,46.85,2.74,0.57
190,Twisted Fate,MID,47.36,0.25,2.93
191,Twitch,ADC,49.76,1.86,3.72
192,Twitch,SUPPORT,43.38,1.86,1.13
193,Twitch,JUNGLE,42.63,1.86,0.75
194,Udyr,JUNGLE,51.75,1.25,3.33
195,Urgot,TOP,51.09,4.52,4.23
196,Varus,ADC,46.92,0.24,2.72
197,Vayne,ADC,51.02,15.29,13.20
198,Vayne,TOP,48.37,15.29,3.08
199,Veigar,MID,50.67,1.62,3.90
200,Veigar,SUPPORT,48.50,1.62,1.10
201,Vel'Koz,MID,51.19,0.72,1.21
202,Vel'Koz,SUPPORT,50.32,0.72,2.29
203,Vi,JUNGLE,52.69,1.08,5.08
204,Viktor,MID,52.57,1.94,3.70
205,Vladimir,MID,49.21,3.21,2.60
206,Vladimir,TOP,45.97,3.21,1.85
207,Volibear,TOP,50.76,3.37,3.61
208,Volibear,JUNGLE,50.25,3.37,3.29
209,Warwick,JUNGLE,51.52,2.44,6.41
210,Wukong,TOP,51.78,1.26,3.06
211,Wukong,MID,53.11,1.26,0.52
212,Wukong,JUNGLE,51.02,1.26,1.16
213,Xayah,ADC,47.93,0.39,3.65
214,Xerath,MID,50.37,2.74,2.33
215,Xerath,SUPPORT,50.06,2.74,3.70
216,Xin Zhao,JUNGLE,48.55,0.35,2.81
217,Yasuo,MID,49.83,28.43,14.00
218,Yasuo,TOP,50.18,28.43,4.06
219,Yasuo,ADC,49.73,28.43,2.72
220,Yone,MID,50.18,15.22,9.32
221,Yone,TOP,49.78,15.22,3.13
222,Yorick,TOP,52.08,0.92,1.70
223,Yuumi,SUPPORT,50.36,7.50,7.45
224,Zac,JUNGLE,49.82,1.30,2.87
225,Zed,MID,48.53,41.38,11.70
226,Ziggs,MID,49.84,0.23,1.42
227,Ziggs,ADC,50.98,0.23,0.32
228,Ziggs,SUPPORT,48.88,0.23,0.32
229,Zilean,MID,53.76,0.37,0.29
230,Zilean,SUPPORT,51.38,0.37,2.03
231,Zoe,MID,46.21,1.50,2.68
232,Zyra,SUPPORT,51.19,1.67,3.54
