,champ,role,winrate,banrate,pickrate
80,Karma,SUPPORT,50.04,0.31,5.01
81,Karma,MID,48.48,0.31,0.61
82,Karthus,JUNGLE,52.25,5.75,3.45
83,Kassadin,MID,54.11,17.55,7.46
84,Kassadin,TOP,54.64,17.55,0.95
85,Katarina,MID,50.58,7.10,6.97
86,Kayle,MID,56.91,1.21,0.48
87,Kayle,TOP,49.61,1.21,2.60
88,Kayn,JUNGLE,51.34,2.66,5.77
89,Kennen,TOP,49.36,1.45,2.59
90,Kennen,MID,52.51,1.45,0.49
91,Kha'Zix,JUNGLE,52.10,7.57,8.42
92,Kindred,JUNGLE,50.72,0.75,3.12
93,Kled,TOP,50.99,3.94,3.49
94,Kled,MID,55.11,3.94,0.84
95,Kog'Maw,MID,53.42,0.10,0.12
96,Kog'Maw,ADC,53.45,0.09,1.16
97,LeBlanc,MID,47.77,8.06,5.99
98,Lee Sin,JUNGLE,49.82,24.01,32.56
99,Leona,SUPPORT,51.42,19.39,12.96
100,Lissandra,MID,52.05,0.47,1.87
101,Lissandra,TOP,48.65,0.49,0.35
102,Lucian,ADC,49.90,4.05,18.66
103,Lucian,TOP,49.82,4.05,2.54
104,Lucian,MID,48.83,4.05,2.88
105,Lulu,SUPPORT,50.80,1.93,6.11
106,Lux,MID,50.13,0.81,3.58
107,Lux,SUPPORT,48.40,0.81,4.35
108,Malphite,TOP,53.55,2.66,3.72
109,Malphite,MID,56.39,2.66,0.93
110,Malphite,SUPPORT,41.23,2.95,1.18
111,Malzahar,MID,52.30,3.97,2.75
112,Malzahar,TOP,55.39,3.97,0.42
113,Maokai,TOP,50.97,0.13,1.36
114,Maokai,SUPPORT,49.66,0.13,0.53
115,Master Yi,JUNGLE,52.57,10.01,6.31
116,Miss Fortune,ADC,53.30,3.45,12.53
117,Mordekaiser,TOP,52.62,27.98,13.59
118,Mordekaiser,MID,55.19,27.98,2.44
119,Morgana,SUPPORT,49.55,40.58,9.62
120,Nami,SUPPORT,52.46,0.36,6.27
121,Nasus,TOP,49.81,1.70,3.01
122,Nautilus,SUPPORT,51.28,36.35,14.50
123,Neeko,MID,49.37,0.36,1.40
124,Neeko,SUPPORT,51.12,0.36,0.55
125,Neeko,TOP,44.84,0.36,0.38
126,Nidalee,JUNGLE,50.07,3.87,6.01
127,Nocturne,JUNGLE,51.83,5.95,4.19
128,Nocturne,MID,53.91,5.95,1.48
129,Nocturne,TOP,51.55,5.95,0.92
130,Nunu & Willump,JUNGLE,51.47,0.95,2.87
131,Olaf,JUNGLE,51.24,21.51,9.16
132,Orianna,MID,51.24,0.60,5.40
133,Ornn,TOP,52.83,2.68,6.78
134,Pantheon,TOP,50.94,6.05,2.21
135,Pantheon,MID,52.51,6.05,1.47
136,Pantheon,JUNGLE,51.58,6.05,0.79
137,Poppy,TOP,50.91,0.51,1.85
138,Poppy,JUNGLE,48.74,0.51,0.70
139,Poppy,SUPPORT,47.72,0.51,0.37
140,Pyke,SUPPORT,46.65,13.21,10.75
141,Pyke,MID,49.52,13.21,1.11
142,Qiyana,MID,50.67,15.88,6.88
143,Qiyana,JUNGLE,44.72,15.88,3.40
144,Quinn,TOP,55.42,2.10,2.27
145,Quinn,MID,57.20,2.10,0.47
146,Rakan,SUPPORT,53.49,0.99,6.93
147,Rammus,JUNGLE,53.50,2.98,2.02
148,Rek'Sai,JUNGLE,51.40,6.41,7.55
149,Renekton,TOP,48.57,7.54,5.99
150,Renekton,MID,50.95,7.54,1.48
151,Rengar,JUNGLE,51.97,9.29,4.45
152,Rengar,TOP,50.60,9.29,2.19
153,Riven,TOP,52.36,4.02,5.27
154,Riven,MID,55.00,4.02,0.83
155,Rumble,TOP,51.40,0.61,2.37
156,Rumble,MID,51.47,0.61,1.81
157,Ryze,MID,47.93,11.42,7.95
158,Ryze,TOP,45.76,11.42,5.79
159,Sejuani,JUNGLE,49.70,0.21,1.28
160,Senna,SUPPORT,50.25,39.07,13.43
161,Senna,ADC,50.85,39.07,5.94
162,Shaco,JUNGLE,52.43,10.47,5.08
163,Shaco,SUPPORT,49.23,10.47,1.54
164,Shen,TOP,50.93,0.38,3.82
165,Shen,SUPPORT,50.36,0.38,0.67
166,Shyvana,JUNGLE,47.28,0.21,1.37
167,Singed,TOP,51.53,0.45,2.01
168,Singed,MID,52.60,0.48,0.26
169,Sion,TOP,49.44,0.12,1.51
170,Sion,MID,51.62,0.12,0.28
171,Sivir,ADC,49.34,0.30,3.11
172,Skarner,TOP,56.45,0.24,0.58
173,Skarner,JUNGLE,54.15,0.24,0.69
174,Sona,SUPPORT,53.73,0.07,1.39
175,Soraka,SUPPORT,52.80,1.91,9.54
176,Swain,MID,50.48,1.81,0.93
177,Swain,SUPPORT,50.22,1.55,3.20
178,Swain,ADC,51.56,1.55,0.34
179,Swain,TOP,47.95,1.55,0.56
180,Sylas,MID,44.46,0.80,2.28
181,Sylas,JUNGLE,45.99,0.80,0.33
182,Sylas,TOP,45.28,0.80,0.83
183,Syndra,MID,51.22,3.35,6.91
184,Syndra,ADC,48.98,3.35,1.64
185,Tahm Kench,TOP,48.41,0.26,0.29
186,Tahm Kench,SUPPORT,46.97,0.37,1.57
187,Taliyah,JUNGLE,51.06,0.25,1.91
188,Taliyah,MID,53.75,0.25,0.57
189,Talon,MID,51.79,5.64,4.28
190,Talon,TOP,53.10,5.64,0.56
191,Taric,MID,64.00,0.47,0.34
192,Taric,SUPPORT,51.81,0.47,1.68
193,Teemo,TOP,50.45,2.62,3.10
194,Teemo,MID,51.94,3.09,0.44
195,Thresh,SUPPORT,50.70,11.05,22.92
196,Tristana,ADC,51.25,0.86,5.92
197,Tristana,MID,50.08,0.86,1.10
198,Trundle,JUNGLE,48.28,0.12,0.99
199,Trundle,TOP,49.90,0.13,0.57
200,Tryndamere,TOP,49.46,5.33,3.82
201,Tryndamere,MID,55.26,5.33,0.66
202,Twisted Fate,MID,49.78,0.59,3.97
203,Twitch,JUNGLE,47.88,0.83,1.96
204,Twitch,ADC,49.35,0.83,1.97
205,Udyr,JUNGLE,49.52,0.45,1.39
206,Urgot,TOP,52.16,0.82,1.91
207,Urgot,MID,47.56,0.96,0.23
208,Varus,ADC,50.57,0.11,3.28
209,Vayne,ADC,52.36,6.19,10.58
210,Vayne,TOP,52.73,6.19,2.18
211,Veigar,MID,51.54,1.67,3.43
212,Veigar,ADC,51.47,1.67,1.10
213,Veigar,SUPPORT,45.86,1.67,0.67
214,Vel'Koz,MID,54.69,0.53,1.58
215,Vel'Koz,SUPPORT,49.90,0.53,2.28
216,Vi,JUNGLE,51.59,0.62,3.58
217,Viktor,MID,51.03,0.21,2.09
218,Viktor,TOP,51.09,0.21,0.40
219,Vladimir,TOP,51.97,14.60,5.90
220,Vladimir,MID,53.52,14.60,5.87
221,Volibear,TOP,53.88,0.30,0.81
222,Volibear,JUNGLE,47.88,0.30,1.21
223,Volibear,SUPPORT,47.05,0.30,0.40
224,Warwick,JUNGLE,53.33,1.89,4.39
225,Warwick,TOP,47.65,1.89,0.45
226,Wukong,TOP,53.91,0.24,0.55
227,Wukong,MID,53.94,0.24,0.48
228,Wukong,JUNGLE,50.82,0.24,0.55
229,Xayah,ADC,49.76,3.82,10.53
230,Xerath,MID,49.55,0.63,2.22
231,Xerath,SUPPORT,48.78,0.63,1.95
232,Xin Zhao,JUNGLE,51.97,0.39,2.75
233,Yasuo,MID,48.93,39.18,12.26
234,Yasuo,TOP,50.03,39.18,4.67
235,Yasuo,ADC,48.64,39.18,3.47
236,Yorick,MID,58.44,0.94,0.20
237,Yorick,TOP,52.48,0.79,1.81
238,Yuumi,SUPPORT,47.48,2.28,3.74
239,Zac,JUNGLE,51.47,1.70,4.45
240,Zed,MID,49.52,25.06,8.23
241,Ziggs,MID,48.73,0.09,0.98
242,Ziggs,ADC,48.19,0.09,0.19
243,Zilean,MID,56.65,0.68,0.62
244,Zilean,SUPPORT,51.61,0.68,2.64
245,Zoe,MID,50.13,3.31,4.55
246,Zyra,SUPPORT,50.76,1.20,3.27
