champ,role,winrate,rank,banrate,pickrate,change
Kennen,MID,52.91,irontogold,0.36,0.44,no change
Kennen,TOP,48.98,irontogold,0.36,1.72,no change
Kha'Zix,JUNGLE,49.05,irontogold,6.47,7.81,no change
Kindred,JUNGLE,48.33,irontogold,1.47,4.65,no change
Kled,MID,54.97,irontogold,1.12,0.34,no change
Kled,TOP,51.2,irontogold,1.12,1.85,no change
Kog'Maw,ADC,51.2,irontogold,0.76,3.3,no change
LeBlanc,MID,47.91,irontogold,4.57,4.06,no change
Lee Sin,JUNGLE,48.18,irontogold,19.1,14.66,nerf
Lee Sin,TOP,48.13,irontogold,19.1,4.41,nerf
Leona,SUPPORT,51.65,irontogold,26.48,11.96,nerf
Lillia,JUNGLE,44.18,irontogold,0.47,1.58,no change
Lissandra,MID,49.23,irontogold,0.35,1.44,no change
Lucian,ADC,47.08,irontogold,3.06,7.06,no change
Lucian,MID,45.73,irontogold,3.06,3.43,no change
Lulu,SUPPORT,49.74,irontogold,14.39,10.71,no change
Lux,SUPPORT,49.85,irontogold,6.85,13.71,no change
Lux,MID,51.68,irontogold,6.85,5.66,no change
Malphite,TOP,51.78,irontogold,7.54,5.2,no change
Malphite,MID,51.89,irontogold,7.54,1.35,no change
Malphite,SUPPORT,47.86,irontogold,7.54,1.61,no change
Malzahar,MID,53.2,irontogold,4.71,3.53,no change
Maokai,SUPPORT,51.77,irontogold,0.44,2.14,no change
Maokai,TOP,51.56,irontogold,0.44,0.64,no change
Master Yi,JUNGLE,50.93,irontogold,22.37,10.14,tweak
Miss Fortune,ADC,51.67,irontogold,2.19,12.28,no change
Mordekaiser,TOP,51.42,irontogold,13.24,9.56,no change
Mordekaiser,MID,54.31,irontogold,13.24,1.3,no change
Mordekaiser,JUNGLE,52.44,irontogold,13.24,1.3,no change
Morgana,JUNGLE,53.54,irontogold,56.95,7.48,nerf
Morgana,SUPPORT,50.44,irontogold,56.95,9.38,nerf
Nami,SUPPORT,50.85,irontogold,0.23,4.04,no change
Nasus,TOP,51.96,irontogold,7.02,6.08,no change
Nautilus,SUPPORT,50.27,irontogold,10.51,9.5,tweak
Neeko,MID,50.67,irontogold,0.81,2.26,no change
Neeko,SUPPORT,49.01,irontogold,0.81,0.99,no change
Nidalee,JUNGLE,44.48,irontogold,0.75,3.05,no change
Nocturne,JUNGLE,50.49,irontogold,6.34,7.09,no change
Olaf,JUNGLE,46.4,irontogold,1.8,1.78,no change
Olaf,TOP,45.49,irontogold,1.8,0.29,no change
Orianna,MID,45.92,irontogold,0.41,2.75,no change
Ornn,TOP,53.09,irontogold,1.16,3.96,no change
Pantheon,MID,50.83,irontogold,5.14,3.12,no change
Pantheon,TOP,49.15,irontogold,5.14,0.95,no change
Pantheon,SUPPORT,46.5,irontogold,5.14,2.9,no change
Poppy,JUNGLE,50.06,irontogold,0.98,1.75,no change
Poppy,TOP,49.22,irontogold,0.98,1.36,no change
Pyke,SUPPORT,47.9,irontogold,12.24,7.95,no change
Qiyana,MID,46.5,irontogold,2.09,3.43,nerf
Quinn,MID,53.43,irontogold,1.36,0.31,no change
Quinn,TOP,49.03,irontogold,1.36,1.71,no change
Rakan,SUPPORT,49.57,irontogold,0.23,3.19,no change
Rammus,JUNGLE,51.74,irontogold,9.06,3.47,no change
Rek'Sai,JUNGLE,47.88,irontogold,0.71,1.53,no change
Rell,SUPPORT,49.65,irontogold,2.75,2.25,no change
Renekton,TOP,46.73,irontogold,6.19,5.11,no change
Renekton,MID,49.74,irontogold,6.19,1.15,no change
Rengar,TOP,48.24,irontogold,1.36,0.79,no change
Rengar,JUNGLE,44.86,irontogold,1.36,2.51,no change
Riven,TOP,48.83,irontogold,1.52,4.25,no change
Riven,MID,52.29,irontogold,1.52,0.72,no change
Rumble,JUNGLE,47.08,irontogold,10.61,6.51,nerf
Rumble,MID,51.24,irontogold,10.61,1.15,nerf
Rumble,TOP,47.21,irontogold,10.61,1.73,nerf
Ryze,MID,43.76,irontogold,0.3,2.17,buff
Ryze,TOP,43.94,irontogold,0.3,0.75,buff
Samira,ADC,50.22,irontogold,34.13,11.83,no change
Sejuani,JUNGLE,50.92,irontogold,0.17,1.85,no change
Senna,SUPPORT,49.92,irontogold,16.06,12.81,tweak
Senna,ADC,50.11,irontogold,16.06,2.42,tweak
Seraphine,SUPPORT,49.16,irontogold,4.41,4.88,buff
Sett,TOP,51.09,irontogold,11.45,11.36,no change
Sett,MID,53.86,irontogold,11.45,2.02,no change
Sett,SUPPORT,46.74,irontogold,11.45,2.28,no change
Shaco,JUNGLE,50.62,irontogold,27.41,8.67,nerf
Shaco,SUPPORT,51.88,irontogold,27.41,1.84,nerf
Shen,TOP,51.71,irontogold,4.15,6.31,no change
Shen,SUPPORT,49.69,irontogold,4.15,0.78,no change
Shyvana,JUNGLE,50.66,irontogold,0.32,1.71,no change
Shyvana,TOP,49.93,irontogold,0.32,0.23,no change
Singed,TOP,51.03,irontogold,0.22,1.13,tweak
Sion,TOP,52.4,irontogold,0.39,2.87,no change
Sivir,ADC,51.41,irontogold,1.94,5.22,no change
Skarner,JUNGLE,51.84,irontogold,0.17,0.77,no change
Sona,SUPPORT,51.49,irontogold,0.1,2.06,no change
Soraka,SUPPORT,50.37,irontogold,0.55,3.89,no change
Swain,MID,54.53,irontogold,6.74,0.73,no change
Swain,SUPPORT,51.2,irontogold,6.74,4.75,no change
Swain,ADC,54.96,irontogold,6.74,0.83,no change
Sylas,MID,48.74,irontogold,13.25,10.32,no change
Sylas,TOP,47.61,irontogold,13.25,4.69,no change
Syndra,MID,46.42,irontogold,0.61,1.98,no change
Tahm Kench,ADC,51.07,irontogold,0.43,0.33,no change
Tahm Kench,TOP,46.58,irontogold,0.43,1.19,no change
Tahm Kench,SUPPORT,43.28,irontogold,0.43,0.55,no change
Taliyah,SUPPORT,48.79,irontogold,0.09,0.08,no change
Taliyah,JUNGLE,46.99,irontogold,0.09,0.61,no change
Taliyah,MID,46.7,irontogold,0.09,0.11,no change
Talon,MID,48.5,irontogold,4.47,4.58,no change
Taric,SUPPORT,51.09,irontogold,0.14,1.17,no change
Teemo,TOP,50.56,irontogold,7.35,5.4,buff
Teemo,MID,52.38,irontogold,7.35,0.7,buff
Thresh,SUPPORT,48.77,irontogold,8.18,12.83,no change
Tristana,ADC,50.74,irontogold,16.26,15.4,no change
Trundle,JUNGLE,51.6,irontogold,0.29,1.61,no change
Trundle,TOP,51.6,irontogold,0.29,0.75,no change
Tryndamere,MID,51.96,irontogold,3.99,0.67,no change
Tryndamere,TOP,48.2,irontogold,3.99,3.45,no change
Tryndamere,JUNGLE,47.43,irontogold,3.99,0.47,no change
Twisted Fate,MID,46.63,irontogold,0.25,2.72,no change
Twitch,ADC,50.32,irontogold,2.65,4.65,no change
Twitch,JUNGLE,44.51,irontogold,2.65,0.61,no change
Udyr,JUNGLE,49.22,irontogold,6.81,4.38,no change
Urgot,TOP,53.06,irontogold,9.36,6.78,nerf
Varus,ADC,49.15,irontogold,1.19,6.9,no change
Vayne,ADC,50.74,irontogold,11.43,11.54,no change
Vayne,TOP,48.26,irontogold,11.43,2.04,no change
Veigar,MID,50.97,irontogold,1.71,4.25,no change
Veigar,SUPPORT,49.83,irontogold,1.71,1.23,no change
Vel'Koz,MID,50.96,irontogold,1.19,2.01,no change
Vel'Koz,SUPPORT,50.36,irontogold,1.19,2.54,no change
Vi,JUNGLE,51.44,irontogold,0.58,3.41,tweak
Viego,JUNGLE,49.31,irontogold,12.96,7.12,no change
Viego,MID,50.62,irontogold,12.96,2.69,no change
Viktor,MID,50.84,irontogold,0.64,3.39,no change
Vladimir,MID,50.77,irontogold,6.01,4,no change
Vladimir,TOP,47.78,irontogold,6.01,2.23,no change
Volibear,JUNGLE,52.23,irontogold,6.69,5.6,no change
Volibear,TOP,50.47,irontogold,6.69,3.71,no change
Warwick,JUNGLE,51.43,irontogold,3.44,6.79,no change
Warwick,TOP,50.13,irontogold,3.44,0.9,no change
Wukong,TOP,51.46,irontogold,1.92,3.34,no change
Wukong,MID,53.13,irontogold,1.92,0.58,no change
Wukong,JUNGLE,50.22,irontogold,1.92,0.78,no change
Xayah,ADC,47.38,irontogold,0.4,3.65,no change
Xerath,MID,51.15,irontogold,4.98,3.68,no change
Xerath,SUPPORT,51.16,irontogold,4.98,5,no change
Xin Zhao,JUNGLE,52.07,irontogold,2.71,7.31,no change
Yasuo,MID,51.56,irontogold,27.21,13.13,no change
Yasuo,TOP,51.92,irontogold,27.21,2.87,no change
Yasuo,ADC,51.37,irontogold,27.21,2,no change
Yone,MID,51.31,irontogold,22.11,9.85,no change
Yone,TOP,50.52,irontogold,22.11,2.47,no change
Yorick,TOP,51.34,irontogold,2.72,2.34,no change
Yuumi,SUPPORT,50.09,irontogold,7.14,7.7,no change
Zac,JUNGLE,52.37,irontogold,1.03,3.79,no change
Zed,MID,49.09,irontogold,43.96,11.73,no change
Ziggs,MID,49.43,irontogold,0.19,1.28,no change
Ziggs,ADC,51.8,irontogold,0.19,0.25,no change
Ziggs,SUPPORT,48.79,irontogold,0.19,0.31,no change
Zilean,MID,52.61,irontogold,0.6,0.34,no change
Zilean,SUPPORT,51.43,irontogold,0.6,2.61,no change
Zoe,MID,45.3,irontogold,1.21,2.73,no change
Zyra,SUPPORT,52.09,irontogold,2.6,5.14,no change
Aatrox,MID,53.22,irontogold,4.31,0.53,no change
Aatrox,TOP,48.38,irontogold,4.31,4.43,no change
Ahri,MID,50.36,irontogold,1.83,5.14,no change
Akali,MID,48.79,irontogold,18.08,9.9,no change
Akali,TOP,49.05,irontogold,18.08,3.59,no change
Alistar,SUPPORT,50.32,irontogold,2.59,5.83,no change
Amumu,JUNGLE,53.89,irontogold,1.3,4.12,no change
Anivia,MID,51.5,irontogold,2.99,2.53,no change
Anivia,SUPPORT,47.69,irontogold,2.99,0.43,no change
Annie,MID,52.49,irontogold,1.3,2.4,no change
Annie,SUPPORT,48.52,irontogold,1.3,0.33,no change
Aphelios,ADC,46.05,irontogold,0.84,2.44,tweak
Ashe,ADC,50.46,irontogold,1.51,8.9,no change
Aurelion Sol,MID,49.75,irontogold,0.2,0.6,no change
Azir,MID,43.92,irontogold,0.2,1.27,no change
Bard,SUPPORT,48.71,irontogold,0.36,2.45,no change
Blitzcrank,SUPPORT,50.25,irontogold,14.29,6.66,no change
Brand,SUPPORT,51.8,irontogold,9.18,5.84,no change
Brand,MID,52.58,irontogold,9.18,1.21,no change
Braum,SUPPORT,50.29,irontogold,0.49,2.62,no change
Caitlyn,ADC,48.79,irontogold,8.32,12.35,no change
Camille,TOP,49.94,irontogold,2.25,3.62,no change
Cassiopeia,TOP,50.04,irontogold,0.84,0.23,no change
Cassiopeia,MID,48.32,irontogold,0.84,1.37,no change
Cho'Gath,TOP,51.08,irontogold,2.18,3.73,no change
Cho'Gath,MID,51.96,irontogold,2.18,0.66,no change
Corki,MID,52.46,irontogold,0.29,1.2,no change
Darius,TOP,48.6,irontogold,32.2,6.65,no change
Diana,JUNGLE,51.27,irontogold,17.54,7.4,no change
Diana,MID,52.13,irontogold,17.54,4.17,no change
Dr. Mundo,TOP,51.3,irontogold,2.61,1.83,tweak
Dr. Mundo,JUNGLE,50.69,irontogold,2.61,2.32,tweak
Draven,ADC,48.33,irontogold,3.45,3.45,buff
Ekko,JUNGLE,50.5,irontogold,3.52,4.48,no change
Ekko,MID,50.2,irontogold,3.52,3.57,no change
Elise,JUNGLE,49.11,irontogold,8.23,3.41,no change
Evelynn,JUNGLE,49.28,irontogold,6.3,4.16,no change
Ezreal,ADC,49.07,irontogold,6.68,22.21,no change
Fiddlesticks,JUNGLE,51.02,irontogold,2.88,3.87,no change
Fiora,TOP,50.09,irontogold,5.8,4.24,no change
Fizz,MID,50.62,irontogold,10.29,4.15,no change
Galio,MID,50.97,irontogold,1.48,2.61,no change
Galio,SUPPORT,49.36,irontogold,1.48,2.22,no change
Gangplank,TOP,45.65,irontogold,1.24,2.47,no change
Gangplank,MID,47.12,irontogold,1.24,0.48,no change
Garen,TOP,51.39,irontogold,5.61,7.15,no change
Garen,MID,54.7,irontogold,5.61,0.96,no change
Gnar,TOP,49.19,irontogold,4.06,4.69,nerf
Gragas,JUNGLE,47.7,irontogold,0.29,1.69,no change
Gragas,SUPPORT,48.41,irontogold,0.29,0.36,no change
Gragas,TOP,46.34,irontogold,0.29,0.41,no change
Graves,JUNGLE,48.95,irontogold,1.81,4.52,no change
Gwen,TOP,48.42,irontogold,12.9,4.03,no change
Gwen,MID,48.71,irontogold,12.9,0.88,no change
Gwen,JUNGLE,48.79,irontogold,12.9,0.98,no change
Hecarim,JUNGLE,47.63,irontogold,4.85,4.04,buff
Heimerdinger,MID,51.81,irontogold,1.45,1.14,no change
Heimerdinger,ADC,53.24,irontogold,1.45,0.25,no change
Heimerdinger,TOP,49.62,irontogold,1.45,0.89,no change
Illaoi,TOP,49.88,irontogold,5.93,2.85,buff
Irelia,TOP,46.17,irontogold,10.61,5.04,no change
Irelia,MID,46.31,irontogold,10.61,3.85,no change
Ivern,JUNGLE,48.11,irontogold,0.28,0.93,no change
Janna,SUPPORT,49.9,irontogold,0.19,3,no change
Jarvan IV,JUNGLE,49.75,irontogold,0.19,1.9,buff
Jax,TOP,49.51,irontogold,4.39,4.7,no change
Jax,JUNGLE,50.29,irontogold,4.39,1.96,no change
Jayce,MID,49.6,irontogold,0.89,0.99,no change
Jayce,TOP,47.33,irontogold,0.89,2.44,no change
Jhin,ADC,51.03,irontogold,6.05,16.1,no change
Jinx,ADC,49.7,irontogold,4.11,13.47,no change
Kai'Sa,ADC,49.3,irontogold,10.04,21.5,no change
Kalista,TOP,45.06,irontogold,0.38,0.21,no change
Kalista,ADC,45.71,irontogold,0.38,1.43,no change
Karma,SUPPORT,47.53,irontogold,0.66,5.04,no change
Karthus,MID,50.4,irontogold,0.61,0.21,no change
Karthus,JUNGLE,49.73,irontogold,0.61,1.32,no change
Kassadin,MID,48.36,irontogold,4.54,2.85,no change
Katarina,MID,50.17,irontogold,14.63,9.16,no change
Kayle,MID,54.58,irontogold,1.48,0.95,no change
Kayle,TOP,51.45,irontogold,1.48,3.68,no change
Kayn,JUNGLE,50.44,irontogold,10.93,12.03,no change
Kennen,MID,51.52,irontogold,0.31,0.38,no change
Kennen,TOP,49.63,irontogold,0.31,1.44,no change
Kha'Zix,JUNGLE,49.22,irontogold,7.9,8.46,no change
Kindred,JUNGLE,48.79,irontogold,1.94,4.76,no change
Kled,MID,53.59,irontogold,1.17,0.35,no change
Kled,TOP,50.73,irontogold,1.17,1.9,no change
Kog'Maw,ADC,51.11,irontogold,1.16,3.64,no change
LeBlanc,MID,48.18,irontogold,4.81,4.22,no change
Lee Sin,JUNGLE,48.2,irontogold,22.01,14.64,no change
Lee Sin,TOP,47.87,irontogold,22.01,3.17,no change
Leona,SUPPORT,51.02,irontogold,26.51,11.54,no change
Lillia,JUNGLE,45,irontogold,0.39,1.4,no change
Lissandra,MID,49.39,irontogold,0.37,1.49,no change
Lucian,MID,45.82,irontogold,3.15,3.35,no change
Lucian,ADC,46.45,irontogold,3.15,6.88,no change
Lulu,SUPPORT,50.16,irontogold,17.2,11.17,no change
Lux,SUPPORT,50.28,irontogold,6.65,13.26,no change
Lux,MID,51.61,irontogold,6.65,5.58,no change
Malphite,TOP,51.21,irontogold,6.99,4.93,buff
Malphite,MID,51.34,irontogold,6.99,1.32,buff
Malphite,SUPPORT,48.4,irontogold,6.99,1.56,buff
Malzahar,MID,53.39,irontogold,4.83,3.51,no change
Maokai,SUPPORT,51.41,irontogold,0.39,2.14,no change
Maokai,TOP,51.03,irontogold,0.39,0.58,no change
Master Yi,JUNGLE,51.65,irontogold,22.7,10.63,no change
Miss Fortune,ADC,51.47,irontogold,2.19,12.03,no change
Mordekaiser,TOP,51.01,irontogold,15.73,10.8,no change
Mordekaiser,MID,53.85,irontogold,15.73,1.53,no change
Morgana,SUPPORT,50.33,irontogold,48.77,10.49,no change
Morgana,JUNGLE,50.43,irontogold,48.77,3.5,no change
Nami,SUPPORT,51.49,irontogold,0.21,4.03,no change
Nasus,TOP,53.7,irontogold,7.69,6.96,nerf
Nautilus,SUPPORT,49.68,irontogold,12.1,9.42,no change
Nautilus,JUNGLE,48.56,irontogold,12.1,1.51,no change
Neeko,MID,50.55,irontogold,0.81,2.2,no change
Neeko,SUPPORT,48.19,irontogold,0.81,0.92,no change
Nidalee,JUNGLE,44.52,irontogold,0.85,3.26,no change
Nocturne,JUNGLE,50.68,irontogold,6.67,6.71,no change
Olaf,JUNGLE,46.82,irontogold,1.54,1.62,no change
Olaf,TOP,45.29,irontogold,1.54,0.27,no change
Orianna,MID,46.9,irontogold,0.38,2.6,no change
Ornn,TOP,52.4,irontogold,1.08,3.78,no change
Pantheon,MID,50.6,irontogold,4.72,3.1,no change
Pantheon,TOP,49.02,irontogold,4.72,0.95,no change
Pantheon,SUPPORT,46.42,irontogold,4.72,2.8,no change
Poppy,JUNGLE,50.75,irontogold,0.98,1.92,no change
Poppy,TOP,48.24,irontogold,0.98,1.38,no change
Pyke,SUPPORT,48.14,irontogold,12.21,7.84,no change
Qiyana,MID,45.79,irontogold,2.32,3.33,no change
Quinn,MID,51.1,irontogold,1.33,0.29,no change
Quinn,TOP,49.17,irontogold,1.33,1.61,no change
Rakan,SUPPORT,49.18,irontogold,0.22,3.01,no change
Rammus,JUNGLE,50.36,irontogold,7.81,3.02,buff
Rek'Sai,JUNGLE,47.52,irontogold,0.81,1.58,no change
Rell,SUPPORT,49.68,irontogold,2.19,1.99,no change
Renekton,TOP,46.45,irontogold,6.27,5.63,nerf
Renekton,MID,49.1,irontogold,6.27,1.29,nerf
Rengar,TOP,48.06,irontogold,1.46,0.81,no change
Rengar,JUNGLE,44.89,irontogold,1.46,2.47,no change
Riven,TOP,49.13,irontogold,1.79,4.66,no change
Riven,MID,52.61,irontogold,1.79,0.77,no change
Rumble,MID,50.68,irontogold,6.18,0.99,no change
Rumble,JUNGLE,47.06,irontogold,6.18,3.53,no change
Rumble,TOP,46.94,irontogold,6.18,1.31,no change
Ryze,MID,45.9,irontogold,0.31,2.58,no change
Ryze,TOP,45.59,irontogold,0.31,0.85,no change
Samira,ADC,50.1,irontogold,36.42,11.53,no change
Sejuani,JUNGLE,50.95,irontogold,0.21,2.25,no change
Senna,SUPPORT,48.77,irontogold,15.53,12.72,no change
Senna,ADC,49.42,irontogold,15.53,2.36,no change
Seraphine,SUPPORT,50.05,irontogold,4,5.39,no change
Sett,TOP,50.79,irontogold,13.89,11.72,no change
Sett,MID,53.52,irontogold,13.89,2.1,no change
Sett,SUPPORT,46.61,irontogold,13.89,2.24,no change
Shaco,JUNGLE,50.45,irontogold,30.43,9.01,no change
Shaco,SUPPORT,51,irontogold,30.43,1.65,no change
Shen,TOP,51.29,irontogold,3.29,5.56,no change
Shen,SUPPORT,48.72,irontogold,3.29,0.71,no change
Shyvana,JUNGLE,50.7,irontogold,0.37,1.73,no change
Shyvana,TOP,48.23,irontogold,0.37,0.23,no change
Singed,TOP,51.53,irontogold,0.27,1.33,no change
Sion,TOP,51.16,irontogold,0.33,2.7,no change
Sivir,ADC,51.21,irontogold,1.65,4.56,no change
Skarner,JUNGLE,52.58,irontogold,0.17,0.77,no change
Sona,SUPPORT,52.03,irontogold,0.1,2.11,no change
Soraka,SUPPORT,51.14,irontogold,0.69,4.75,no change
Swain,MID,53.7,irontogold,6.09,0.69,no change
Swain,SUPPORT,51.37,irontogold,6.09,4.59,no change
Swain,ADC,54.22,irontogold,6.09,0.73,no change
Sylas,MID,48.68,irontogold,16.63,12.19,no change
Sylas,TOP,47.79,irontogold,16.63,5.4,no change
Syndra,MID,45.85,irontogold,0.63,1.89,no change
Tahm Kench,TOP,46.46,irontogold,0.41,1.07,no change
Tahm Kench,ADC,48.66,irontogold,0.41,0.25,no change
Tahm Kench,SUPPORT,43.83,irontogold,0.41,0.46,no change
Taliyah,MID,50.13,irontogold,0.1,0.1,no change
Taliyah,SUPPORT,49.72,irontogold,0.1,0.09,no change
Taliyah,JUNGLE,48.3,irontogold,0.1,0.58,no change
Talon,MID,48.76,irontogold,4.52,4.65,tweak
Taric,SUPPORT,50.74,irontogold,0.14,1.2,no change
Teemo,TOP,50.79,irontogold,7.27,5.54,no change
Thresh,SUPPORT,48.34,irontogold,8.14,12.48,no change
Tristana,ADC,50.2,irontogold,15.45,14.37,no change
Trundle,JUNGLE,51.84,irontogold,0.32,1.77,no change
Trundle,TOP,51.72,irontogold,0.32,0.94,no change
Tryndamere,TOP,48.15,irontogold,4,3.66,no change
Tryndamere,MID,51.21,irontogold,4,0.86,no change
Tryndamere,JUNGLE,47.17,irontogold,4,0.51,no change
Twisted Fate,MID,46.98,irontogold,0.24,2.57,no change
Twitch,ADC,50.2,irontogold,2.59,4.96,no change
Twitch,JUNGLE,44.16,irontogold,2.59,0.62,no change
Udyr,JUNGLE,49.23,irontogold,5.75,4.11,nerf
Urgot,TOP,51.71,irontogold,7.8,5.55,no change
Varus,ADC,48.73,irontogold,1.38,7.01,nerf
Vayne,ADC,50.96,irontogold,11.78,11.89,no change
Vayne,TOP,47.92,irontogold,11.78,2.04,no change
Veigar,MID,51.14,irontogold,1.7,4.43,no change
Veigar,SUPPORT,49.56,irontogold,1.7,1.22,no change
Vel'Koz,MID,52.1,irontogold,0.79,1.43,no change
Vel'Koz,SUPPORT,50.47,irontogold,0.79,2.41,no change
Vi,JUNGLE,51.5,irontogold,0.56,3.43,no change
Viego,JUNGLE,49.24,irontogold,13.37,7.23,no change
Viego,MID,50.14,irontogold,13.37,2.73,no change
Viktor,MID,50.97,irontogold,0.6,3.12,no change
Vladimir,MID,50.61,irontogold,5.77,3.76,no change
Vladimir,TOP,50.08,irontogold,5.77,1.45,no change
Volibear,JUNGLE,51.68,irontogold,6.27,5.11,no change
Volibear,TOP,49.63,irontogold,6.27,3.94,no change
Warwick,JUNGLE,52.34,irontogold,4.11,7.42,no change
Warwick,TOP,50.6,irontogold,4.11,1.07,no change
Wukong,TOP,53.44,irontogold,4.35,5.07,nerf
Wukong,MID,55.9,irontogold,4.35,0.78,nerf
Wukong,JUNGLE,52.32,irontogold,4.35,1.37,nerf
Xayah,ADC,47.89,irontogold,0.45,3.51,no change
Xerath,MID,51.34,irontogold,5.46,3.5,no change
Xerath,SUPPORT,50.81,irontogold,5.46,5.07,no change
Xin Zhao,JUNGLE,52,irontogold,4.6,8.73,no change
Yasuo,MID,51.61,irontogold,27.28,13.28,no change
Yasuo,TOP,51.76,irontogold,27.28,2.93,no change
Yasuo,ADC,51.29,irontogold,27.28,1.97,no change
Yone,MID,51.25,irontogold,20.32,9.74,no change
Yone,TOP,50.77,irontogold,20.32,2.56,no change
Yorick,TOP,52.07,irontogold,2.11,2.3,no change
