champ,role,winrate,banrate,pickrate,change,rank
Kai'Sa,ADC,48.46,9.51,33.8,no change,challenger
Kalista,ADC,53.85,0.3,2.41,no change,challenger
Karma,SUPPORT,43.02,3.97,13.42,no change,challenger
Karthus,JUNGLE,52.31,7.17,3.79,no change,challenger
Kassadin,MID,49.06,26.87,4.37,no change,challenger
Katarina,MID,50.94,19.74,6.56,no change,challenger
Kayle,TOP,58.73,2.87,3.78,no change,challenger
Kayle,MID,48.78,2.87,2.39,no change,challenger
Kayn,JUNGLE,58.9,9.51,7.48,no change,challenger
Kennen,TOP,44.68,0.48,2.27,no change,challenger
Kha'Zix,JUNGLE,52.25,9.42,10,no change,challenger
Kindred,JUNGLE,56.28,8.52,9.52,no change,challenger
Kog'Maw,ADC,52.38,4.24,8.5,no change,challenger
LeBlanc,MID,55.81,3.75,4.01,no change,challenger
LeBlanc,SUPPORT,54.05,3.75,0.4,no change,challenger
Lee Sin,TOP,54.66,32.31,11.78,nerf,challenger
Lee Sin,JUNGLE,53.35,32.31,15.97,nerf,challenger
Lee Sin,MID,53.38,32.31,5.48,nerf,challenger
Leona,SUPPORT,53.33,11.28,12.26,nerf,challenger
Lillia,JUNGLE,31.03,0.35,1.91,no change,challenger
Lucian,MID,47.41,4.11,6.01,no change,challenger
Lucian,TOP,44.9,4.11,1.96,no change,challenger
Lucian,ADC,43.48,4.11,3.07,no change,challenger
Lulu,SUPPORT,56.25,44.21,16.44,no change,challenger
Lux,SUPPORT,56.76,0.36,2.63,no change,challenger
Lux,MID,50,0.36,2.72,no change,challenger
Malphite,TOP,49.09,7.27,4.48,no change,challenger
Malzahar,MID,65.22,1.23,2.19,no change,challenger
Master Yi,JUNGLE,51.85,2.47,1.84,tweak,challenger
Miss Fortune,ADC,44.12,0.09,3.44,no change,challenger
Mordekaiser,TOP,36.54,2.58,3.81,no change,challenger
Morgana,JUNGLE,49.32,56.27,12.12,nerf,challenger
Nami,SUPPORT,55.56,0.13,4.07,no change,challenger
Nautilus,SUPPORT,52.53,8.38,14.87,tweak,challenger
Neeko,MID,50,0.2,1.02,no change,challenger
Nidalee,JUNGLE,52.43,5.12,8.4,no change,challenger
Nocturne,MID,54.84,5.51,1.6,no change,challenger
Nocturne,TOP,53.33,5.51,2.77,no change,challenger
Nocturne,JUNGLE,47.5,5.51,4.29,no change,challenger
Olaf,JUNGLE,51.16,1.8,2.98,no change,challenger
Orianna,MID,48.44,0.44,4.38,no change,challenger
Ornn,TOP,52.17,0.34,3.93,no change,challenger
Pantheon,MID,43.48,1.8,1.67,no change,challenger
Poppy,TOP,45.16,0.75,1.55,no change,challenger
Pyke,SUPPORT,36.84,3.02,4.96,no change,challenger
Qiyana,MID,52.88,19.31,7.1,nerf,challenger
Rakan,SUPPORT,55.67,0.28,5.68,no change,challenger
Rek'Sai,JUNGLE,48.94,3.22,4.61,no change,challenger
Rell,SUPPORT,61.54,2.56,4.14,no change,challenger
Renekton,TOP,53.1,9.45,7.53,no change,challenger
Renekton,MID,60.34,9.45,2.38,no change,challenger
Rengar,JUNGLE,36.73,7.5,3.19,no change,challenger
Riven,TOP,47.5,5.75,6.1,no change,challenger
Rumble,JUNGLE,49.83,43.69,13.49,nerf,challenger
Ryze,MID,49.02,0.22,2.62,buff,challenger
Samira,ADC,50.72,14.41,9.88,no change,challenger
Sejuani,JUNGLE,48,0.12,1.69,no change,challenger
Senna,SUPPORT,52.2,13.18,12.96,tweak,challenger
Seraphine,SUPPORT,36.73,2.33,3.57,buff,challenger
Sett,TOP,54.47,5.97,11.11,no change,challenger
Sett,MID,49.06,5.97,2.59,no change,challenger
Sett,SUPPORT,37.5,5.97,3.67,no change,challenger
Shaco,JUNGLE,47.3,18.89,5.19,nerf,challenger
Shen,TOP,54.55,4.99,6.51,no change,challenger
Shyvana,JUNGLE,54.55,0.07,0.91,no change,challenger
Sion,TOP,46.15,0.26,3.74,no change,challenger
Sivir,ADC,50.91,0.71,3.13,no change,challenger
Sona,SUPPORT,51.02,0.23,2.85,no change,challenger
Soraka,SUPPORT,60.61,0.18,2.87,no change,challenger
Sylas,MID,53.36,20.96,14.78,no change,challenger
Sylas,TOP,55.28,20.96,5.64,no change,challenger
Syndra,MID,39.39,0.35,2.36,no change,challenger
Tahm Kench,ADC,53.66,0.51,1.47,no change,challenger
Taliyah,JUNGLE,48.65,0.49,2.06,no change,challenger
Talon,MID,54.02,6.62,3.94,no change,challenger
Taric,SUPPORT,59.09,0.36,1.85,no change,challenger
Thresh,SUPPORT,53.59,27.75,19.42,no change,challenger
Tristana,ADC,50,12.87,18.55,no change,challenger
Tristana,MID,55.88,12.87,2.15,no change,challenger
Tryndamere,TOP,69.7,4.33,1.97,no change,challenger
Twisted Fate,MID,58.33,0.86,3.96,no change,challenger
Twitch,ADC,64.58,1.82,3.72,no change,challenger
Udyr,JUNGLE,47.54,12.64,7.15,no change,challenger
Urgot,TOP,58.97,2.81,4.31,nerf,challenger
Varus,ADC,51.61,8.91,16.42,no change,challenger
Vayne,ADC,38.82,4.44,7.72,no change,challenger
Vel'Koz,MID,44.44,0.43,1.5,no change,challenger
Viego,MID,44.23,15.15,4.05,no change,challenger
Viego,JUNGLE,44.74,15.15,5.71,no change,challenger
Viego,TOP,51.28,15.15,1.99,no change,challenger
Viktor,MID,46.67,0.62,6.52,no change,challenger
Vladimir,TOP,60,12.09,2.41,no change,challenger
Vladimir,MID,49.3,12.09,4.45,no change,challenger
Volibear,JUNGLE,70.83,2.92,3.52,no change,challenger
Volibear,TOP,34.48,2.92,3.2,no change,challenger
Wukong,MID,58.33,2.69,0.9,no change,challenger
Wukong,TOP,43.21,2.69,4.44,no change,challenger
Xayah,ADC,55.17,0.19,3.95,no change,challenger
Xerath,MID,66.67,1.45,3.09,no change,challenger
Xerath,SUPPORT,44,1.45,2.24,no change,challenger
Xin Zhao,JUNGLE,60.63,2.55,7.29,no change,challenger
Yasuo,MID,46.88,5.6,5.04,no change,challenger
Yone,MID,44.44,14.6,7.08,no change,challenger
Yone,TOP,47.37,14.6,2.2,no change,challenger
Yuumi,SUPPORT,44.93,8.24,7.92,no change,challenger
Zac,JUNGLE,46.15,1.99,4.99,no change,challenger
Zed,MID,55.26,21.29,8.22,no change,challenger
Zilean,SUPPORT,46.15,2.4,4.07,no change,challenger
Zoe,MID,50,3.07,5.32,no change,challenger
Zyra,SUPPORT,48.28,0.99,2.63,no change,challenger
Aatrox,TOP,48.33,2.6,5.78,no change,challenger
Ahri,MID,55.56,1.01,3.61,no change,challenger
Akali,MID,54.14,13.57,8.36,no change,challenger
Akali,TOP,43.02,13.57,4.4,no change,challenger
Alistar,SUPPORT,56.58,3.01,8.47,no change,challenger
Anivia,MID,51.72,4.09,2.71,no change,challenger
Annie,MID,47.83,0.72,1.59,no change,challenger
Aphelios,ADC,42.86,0.39,3.1,tweak,challenger
Ashe,ADC,52.83,0.28,3.93,no change,challenger
Aurelion Sol,MID,55.56,0.31,1.04,no change,challenger
Bard,SUPPORT,48.75,2.65,6.63,no change,challenger
Blitzcrank,SUPPORT,53.75,4.03,3.89,no change,challenger
Brand,MID,56,0.61,0.43,no change,challenger
Brand,SUPPORT,55,0.61,1.57,no change,challenger
Braum,SUPPORT,62.5,0.21,3.48,no change,challenger
Caitlyn,ADC,56,1.47,5.66,no change,challenger
Camille,TOP,54.63,4.85,7.41,no change,challenger
Cho'Gath,MID,42.86,0.45,0.75,no change,challenger
Cho'Gath,TOP,48.15,0.45,2.12,no change,challenger
Darius,TOP,54.17,20.3,4.6,no change,challenger
Diana,JUNGLE,57.39,14.84,9.15,no change,challenger
Diana,MID,56.76,14.84,2.37,no change,challenger
Draven,ADC,50,6.31,5.57,buff,challenger
Ekko,JUNGLE,51.81,3.14,4.62,no change,challenger
Ekko,MID,45.76,3.14,3.96,no change,challenger
Elise,JUNGLE,54.81,9.09,5.46,no change,challenger
Evelynn,JUNGLE,48.48,15.83,4.62,no change,challenger
Ezreal,ADC,51.51,9.61,27.5,no change,challenger
Fiddlesticks,JUNGLE,58.54,11.68,4.54,no change,challenger
Fiora,TOP,50,9.69,5.72,no change,challenger
Fizz,MID,51.52,2.89,1.94,no change,challenger
Galio,MID,51.61,1.88,3.96,no change,challenger
Galio,SUPPORT,46.43,1.88,1.93,no change,challenger
Gangplank,TOP,56.52,2.24,3.55,no change,challenger
Garen,TOP,58.33,1.03,2.22,no change,challenger
Gnar,TOP,55.17,3.78,6.12,nerf,challenger
Gragas,JUNGLE,50,0.4,2.2,no change,challenger
Gragas,SUPPORT,53.85,0.4,1.59,no change,challenger
Graves,JUNGLE,53.04,3.2,6.61,no change,challenger
Gwen,TOP,49.09,36.37,9.09,no change,challenger
Gwen,MID,43.18,36.37,1.82,no change,challenger
Gwen,JUNGLE,41.86,36.37,2.76,no change,challenger
Hecarim,JUNGLE,44.87,4.14,4.85,buff,challenger
Heimerdinger,ADC,60.87,0.54,0.72,no change,challenger
Irelia,MID,68.89,14.12,2.64,no change,challenger
Irelia,TOP,50,14.12,4.98,no change,challenger
Ivern,JUNGLE,58.7,2.18,2.75,no change,challenger
Janna,SUPPORT,56.57,1.24,7.64,no change,challenger
Jax,TOP,45.71,6.42,4.09,no change,challenger
Jayce,TOP,49.56,2.66,6.06,no change,challenger
Jayce,MID,38.3,2.66,2.6,no change,challenger
Jhin,ADC,53.33,0.51,10.85,no change,challenger
Jinx,ADC,56.67,3.69,14.46,no change,challenger
Kai'Sa,ADC,52.51,10.18,31.04,no change,challenger
Kalista,ADC,55.26,0.45,2.36,no change,challenger
Karma,SUPPORT,51.03,5.62,14.7,no change,challenger
Karthus,JUNGLE,46.77,8.51,3.82,no change,challenger
Kassadin,MID,63.64,26.26,5.04,no change,challenger
Katarina,MID,50.96,19.4,6.39,no change,challenger
Kayle,MID,46.67,2.38,1.4,no change,challenger
Kayle,TOP,46.88,2.38,2.78,no change,challenger
Kayn,JUNGLE,56.72,14.41,9.07,no change,challenger
Kennen,TOP,48.39,0.53,2.23,no change,challenger
Kha'Zix,JUNGLE,48.25,12.99,11.27,no change,challenger
Kindred,JUNGLE,48.09,12.17,8.39,no change,challenger
Kled,TOP,47.83,0.76,2.03,no change,challenger
Kog'Maw,ADC,46.83,4.97,8.52,no change,challenger
LeBlanc,MID,38.46,4.54,4.09,no change,challenger
Lee Sin,JUNGLE,57.39,33.33,16.07,no change,challenger
Lee Sin,TOP,50,33.33,8.37,no change,challenger
Lee Sin,MID,48.75,33.33,3.69,no change,challenger
Leona,SUPPORT,54.68,11.69,12.37,no change,challenger
Lissandra,MID,63.64,0.44,1.66,no change,challenger
Lucian,MID,59.13,6.14,5.81,no change,challenger
Lucian,TOP,48.98,6.14,2.2,no change,challenger
Lucian,ADC,36.36,6.14,3.11,no change,challenger
Lulu,SUPPORT,53.2,48.06,15.78,no change,challenger
Lux,MID,51.28,0.4,3.35,no change,challenger
Lux,SUPPORT,57.14,0.4,2.44,no change,challenger
Malphite,MID,54.55,7.07,1.05,buff,challenger
Malphite,TOP,47.5,7.07,4.14,buff,challenger
Malzahar,MID,55.81,1.17,1.9,no change,challenger
Master Yi,JUNGLE,63.64,3.21,2.52,no change,challenger
Miss Fortune,ADC,71.7,0.16,3.5,no change,challenger
Mordekaiser,TOP,56.58,3.1,5.41,no change,challenger
Morgana,JUNGLE,57.63,27.27,3.14,no change,challenger
Morgana,SUPPORT,59.09,27.27,3.28,no change,challenger
Nami,SUPPORT,48.72,0.1,4.41,no change,challenger
Nasus,TOP,58.33,1.29,2.75,nerf,challenger
Nautilus,SUPPORT,48.43,12.33,13.48,no change,challenger
Nidalee,JUNGLE,52.59,4.45,8.16,no change,challenger
Nocturne,TOP,51.43,6.72,2.65,no change,challenger
Nocturne,MID,47.83,6.72,1.59,no change,challenger
Nocturne,JUNGLE,31.03,6.72,4.93,no change,challenger
Olaf,JUNGLE,45.95,2.18,2.58,no change,challenger
Orianna,MID,44.44,0.36,3.8,no change,challenger
Ornn,TOP,51.85,0.45,3.35,no change,challenger
Poppy,TOP,53.85,1.1,1.98,no change,challenger
Pyke,SUPPORT,49.25,3.19,5.29,no change,challenger
Qiyana,MID,53.95,18.11,6.5,no change,challenger
Rakan,SUPPORT,48.48,0.24,4.71,no change,challenger
Rek'Sai,JUNGLE,50,3.04,4.24,no change,challenger
Rell,SUPPORT,51.11,2.07,2.93,no change,challenger
Renekton,TOP,47.48,10.61,8.47,nerf,challenger
Renekton,MID,45.71,10.61,2.27,nerf,challenger
Rengar,JUNGLE,38.18,7.74,3.5,no change,challenger
Riven,TOP,59.34,5.99,6.16,no change,challenger
Rumble,JUNGLE,49.02,20.02,8.95,no change,challenger
Rumble,MID,46.15,20.02,2.18,no change,challenger
Ryze,MID,44.23,0.29,2.83,no change,challenger
Samira,ADC,52.21,15.92,9.48,no change,challenger
Sejuani,JUNGLE,48.98,0.11,2.18,no change,challenger
Senna,SUPPORT,60.41,14.66,12.84,no change,challenger
Seraphine,MID,60,3.5,1.34,no change,challenger
Seraphine,SUPPORT,57.14,3.5,5.44,no change,challenger
Sett,TOP,55.19,7.62,10.34,no change,challenger
Sett,MID,45.1,7.62,3.32,no change,challenger
Sett,SUPPORT,38.18,7.62,3.4,no change,challenger
Shaco,JUNGLE,47.92,22.64,5.93,no change,challenger
Shen,TOP,61.82,3.99,5.95,no change,challenger
Singed,TOP,42.86,0.26,1.31,no change,challenger
Sion,TOP,44.83,0.18,3.25,no change,challenger
Sivir,ADC,52.46,0.38,3.08,no change,challenger
Sona,SUPPORT,50.75,0.21,3.14,no change,challenger
Soraka,SUPPORT,54.9,0.57,4.46,no change,challenger
Sylas,MID,56.68,22.85,15.07,no change,challenger
Sylas,TOP,54.76,22.85,5.54,no change,challenger
Syndra,MID,50,0.23,1.96,no change,challenger
Tahm Kench,ADC,57.14,0.49,1.61,no change,challenger
Taliyah,JUNGLE,31.82,0.5,1.78,no change,challenger
Talon,MID,50,5.38,4.09,tweak,challenger
Taric,SUPPORT,64.29,0.38,1.87,no change,challenger
Thresh,SUPPORT,56.4,27.11,17.66,no change,challenger
Tristana,ADC,49.54,10.45,15.02,no change,challenger
Tristana,MID,52.78,10.45,2.01,no change,challenger
Tryndamere,TOP,50,4.51,2.67,no change,challenger
Twisted Fate,MID,50,0.87,3.14,no change,challenger
Twitch,ADC,64.15,1.93,4.69,no change,challenger
Udyr,JUNGLE,46.28,13.6,7.27,nerf,challenger
Urgot,TOP,50,2.24,3.71,no change,challenger
Varus,ADC,46.63,10.29,13.32,nerf,challenger
Vayne,ADC,45.24,5.25,7.79,no change,challenger
Veigar,MID,50,0.36,1.45,no change,challenger
Viego,JUNGLE,52.15,17.08,7.39,no change,challenger
Viego,MID,50.48,17.08,5.22,no change,challenger
Viego,TOP,56.72,17.08,2.85,no change,challenger
Viktor,MID,55.74,0.59,5.14,no change,challenger
Vladimir,TOP,55.26,12.38,2.07,no change,challenger
Vladimir,MID,42.19,12.38,4.67,no change,challenger
Volibear,JUNGLE,55.32,3.1,4.03,no change,challenger
Volibear,TOP,46.81,3.1,3.7,no change,challenger
Wukong,TOP,50.43,7.78,7.62,nerf,challenger
Xayah,ADC,54,0.27,3.03,no change,challenger
Xerath,SUPPORT,60.98,1.87,2.54,no change,challenger
Xerath,MID,43.86,1.87,3.49,no change,challenger
Xin Zhao,JUNGLE,52.42,4.95,8.25,no change,challenger
Yasuo,MID,53.93,6.66,5.74,no change,challenger
Yasuo,ADC,62.07,6.66,1.61,no change,challenger
Yone,MID,53.91,12.72,6.96,no change,challenger
Yone,TOP,54.39,12.72,2.23,no change,challenger
Yuumi,SUPPORT,55.56,10.21,9.41,no change,challenger
Zac,JUNGLE,47.19,3.63,6.25,no change,challenger
Zac,TOP,45,3.63,0.77,no change,challenger
Zed,MID,54.29,21.77,7.91,no change,challenger
Zilean,SUPPORT,57.69,3.2,4.16,no change,challenger
Zoe,MID,39.29,3.92,4.94,no change,challenger
Zyra,SUPPORT,51.85,0.98,2.74,no change,challenger
Aatrox,TOP,47.27,2.19,5.38,no change,challenger
Ahri,MID,54.29,0.62,3.38,no change,challenger
Akali,MID,53.5,22.3,12.8,no change,challenger
Akali,TOP,46.03,22.3,7.39,no change,challenger
Alistar,SUPPORT,58.43,1.92,6.54,no change,challenger
Anivia,MID,47.27,3.17,2.57,no change,challenger
Annie,MID,62.96,0.57,1.59,no change,challenger
Aphelios,ADC,48.84,0.62,5.21,buff,challenger
Ashe,ADC,55.17,0.43,3.53,no change,challenger
Aurelion Sol,MID,68.97,0.27,0.87,no change,challenger
Aurelion Sol,TOP,39.13,0.27,0.29,no change,challenger
Bard,SUPPORT,57.85,2.7,5.94,no change,challenger
Blitzcrank,SUPPORT,41.54,3.62,3.66,no change,challenger
Braum,SUPPORT,57.33,0.2,4.12,no change,challenger
Caitlyn,ADC,53.33,0.81,5.2,no change,challenger
Camille,TOP,55.22,3.99,8.49,no change,challenger
Cassiopeia,MID,61.9,0.53,1.44,no change,challenger
Corki,MID,50,0.35,2.46,no change,challenger
Darius,TOP,53.97,15.58,4.15,no change,challenger
Diana,JUNGLE,57.14,8.77,10.81,no change,challenger
Diana,MID,45.16,8.77,2.64,no change,challenger
Dr. Mundo,TOP,52.38,16.17,7.16,no change,challenger
Draven,ADC,54.38,9.78,8.76,no change,challenger
Ekko,MID,50,2.63,3.43,no change,challenger
Ekko,JUNGLE,48.2,2.63,5.31,no change,challenger
Elise,JUNGLE,50.54,8.64,4.71,no change,challenger
Evelynn,JUNGLE,52.38,13.66,4.03,no change,challenger
Ezreal,ADC,56.93,44.95,34.83,no change,challenger
Fiddlesticks,JUNGLE,56.76,10.2,4.42,no change,challenger
Fiora,TOP,52.08,9.47,5.3,no change,challenger
Fizz,MID,43.48,2.79,1.79,no change,challenger
Galio,SUPPORT,70,1.78,2.22,no change,challenger
Galio,MID,52.83,1.78,4,no change,challenger
Gangplank,TOP,51.22,2.23,3.28,no change,challenger
Gnar,TOP,48.53,2.25,4.4,no change,challenger
Gragas,JUNGLE,55.56,0.33,2.77,no change,challenger
Gragas,SUPPORT,61.9,0.33,1.66,no change,challenger
Graves,JUNGLE,58.33,1.51,4.71,no change,challenger
Gwen,TOP,50.23,49.89,9.67,no change,challenger
Gwen,JUNGLE,60.47,49.89,2.52,no change,challenger
Gwen,MID,64.86,49.89,1.74,no change,challenger
Hecarim,JUNGLE,50.25,5.84,8.88,no change,challenger
Heimerdinger,ADC,60,0.52,0.92,no change,challenger
Irelia,TOP,44.62,11.82,4.4,no change,challenger
Irelia,MID,45.83,11.82,2.13,no change,challenger
Janna,SUPPORT,58.33,0.98,6.64,no change,challenger
Jarvan IV,JUNGLE,50,0.09,1.76,no change,challenger
Jax,TOP,61.82,5.69,4.77,no change,challenger
Jayce,TOP,52.03,3.15,5.94,no change,challenger
Jayce,MID,57.45,3.15,2.48,no change,challenger
Jhin,ADC,55.11,0.43,10.75,no change,challenger
Jinx,ADC,54.64,1.6,13,no change,challenger
Kai'Sa,ADC,48.63,5.45,22.49,no change,challenger
Kalista,ADC,48.31,1.21,5.67,no change,challenger
Karma,SUPPORT,50.58,12.24,19.86,no change,challenger
Karma,MID,54.29,12.24,2.31,no change,challenger
Karma,TOP,55.26,12.24,1.49,no change,challenger
Karthus,JUNGLE,50,8.57,4.59,no change,challenger
Kassadin,MID,58.97,21.64,4.02,no change,challenger
Katarina,MID,52.87,18.74,6.87,no change,challenger
Katarina,TOP,54.55,18.74,0.7,no change,challenger
Kayle,TOP,51.72,1.4,2.42,no change,challenger
Kayle,MID,36.59,1.4,1.71,no change,challenger
Kayn,JUNGLE,61.64,13.87,9.14,no change,challenger
Kennen,TOP,75.76,0.43,2.21,no change,challenger
Kha'Zix,JUNGLE,60.51,11.08,9.79,no change,challenger
Kindred,JUNGLE,51.23,11.11,8.19,no change,challenger
Kog'Maw,ADC,51.97,3.93,8.64,no change,challenger
Kog'Maw,MID,33.33,3.93,0.43,no change,challenger
LeBlanc,MID,47.46,5.39,4.53,no change,challenger
Lee Sin,JUNGLE,50.2,31.58,17.78,nerf,challenger
Lee Sin,TOP,55.47,31.58,8.37,nerf,challenger
Lee Sin,MID,54.93,31.58,4.74,nerf,challenger
Leona,SUPPORT,52.55,11.68,13.61,no change,challenger
Lissandra,MID,40.54,0.24,1.49,no change,challenger
Lucian,MID,49.59,5.94,6.9,no change,challenger
Lucian,ADC,43.59,5.94,2.78,no change,challenger
Lucian,TOP,40,5.94,2.23,no change,challenger
Lulu,SUPPORT,55.95,45.73,14.92,no change,challenger
Lux,SUPPORT,50.98,0.42,2.62,no change,challenger
Lux,MID,36.36,0.42,2.77,no change,challenger
Malphite,TOP,59.09,6.13,4.55,no change,challenger
Malzahar,MID,67.11,1.05,2.37,no change,challenger
Master Yi,JUNGLE,56.67,2.72,2.02,no change,challenger
Miss Fortune,ADC,46.15,0.16,3.24,no change,challenger
Mordekaiser,TOP,47.83,2.11,3.13,no change,challenger
Morgana,SUPPORT,46.15,15.11,3.28,no change,challenger
Nami,SUPPORT,47.06,0.28,4.31,no change,challenger
Nautilus,SUPPORT,49.7,10.76,12.89,no change,challenger
Nidalee,JUNGLE,42.16,4.16,7.37,no change,challenger
Nocturne,TOP,60.78,6.57,4.03,no change,challenger
Nocturne,JUNGLE,56.1,6.57,4.2,no change,challenger
Nocturne,MID,52.63,6.57,2.01,no change,challenger
Olaf,JUNGLE,45.16,1.23,2.03,buff,challenger
Orianna,MID,64.91,0.3,2.9,no change,challenger
Ornn,TOP,38.1,0.27,2.69,no change,challenger
Poppy,TOP,36.36,0.9,1.82,no change,challenger
Pyke,SUPPORT,48.57,3.79,5.33,no change,challenger
Qiyana,MID,53.23,17.7,5.67,no change,challenger
Rakan,SUPPORT,54.29,0.25,5.59,no change,challenger
Rek'Sai,JUNGLE,49.12,3.08,3.59,no change,challenger
Rell,SUPPORT,60.61,1.45,2.51,no change,challenger
Renekton,TOP,52.11,8.55,5.33,no change,challenger
Renekton,MID,47.83,8.55,1.62,no change,challenger
Rengar,JUNGLE,26.09,6.69,2.69,no change,challenger
Riven,TOP,50.57,6.07,6.07,nerf,challenger
Rumble,JUNGLE,53.33,16.73,11.89,nerf,challenger
Ryze,MID,46.51,0.2,2.72,no change,challenger
Samira,ADC,50.53,14.74,9.03,no change,challenger
Senna,SUPPORT,54.59,11.71,12.04,no change,challenger
Seraphine,SUPPORT,50,1.86,4.24,no change,challenger
Sett,TOP,43.92,8.23,12.72,no change,challenger
Sett,MID,47.83,8.23,4.68,no change,challenger
Sett,SUPPORT,55.36,8.23,2.98,no change,challenger
Shaco,JUNGLE,33.33,22.62,4.91,no change,challenger
Shen,TOP,62,2.82,4.76,no change,challenger
Shen,JUNGLE,50,2.82,0.23,no change,challenger
Sion,TOP,54.17,0.13,2.53,no change,challenger
Sivir,ADC,47.06,0.23,3.23,no change,challenger
Skarner,JUNGLE,56.52,0.19,0.75,no change,challenger
Sona,SUPPORT,50,0.18,3.09,no change,challenger
Soraka,SUPPORT,44.19,0.28,3.79,no change,challenger
Sylas,MID,45.12,21.33,14.22,no change,challenger
Sylas,TOP,46.38,21.33,5.13,no change,challenger
Syndra,MID,36.36,0.22,1.39,no change,challenger
Tahm Kench,ADC,58.62,0.42,1.4,tweak,challenger
Taliyah,JUNGLE,35,0.27,1.5,no change,challenger
Talon,MID,52.63,5.07,3.87,no change,challenger
Teemo,TOP,45,0.54,1.15,no change,challenger
Thresh,SUPPORT,55.12,22.46,18.91,no change,challenger
Tristana,ADC,47.62,5.94,12.74,no change,challenger
Tryndamere,TOP,57.58,5.22,2.76,no change,challenger
Twisted Fate,MID,56.52,0.93,3.44,no change,challenger
Twitch,ADC,40,1.35,3.8,no change,challenger
Udyr,JUNGLE,44.44,5.14,2.65,no change,challenger
Urgot,TOP,54.55,1.5,2.61,no change,challenger
Varus,ADC,50,5.93,12.22,no change,challenger
Vayne,ADC,56.57,4.21,7.61,no change,challenger
Vel'Koz,MID,53.85,0.3,1.06,no change,challenger
Vi,JUNGLE,51.85,0.28,1.21,tweak,challenger
Viego,JUNGLE,48.62,31.22,10.36,tweak,challenger
Viego,TOP,52.9,31.22,5.54,tweak,challenger
Viego,MID,44.63,31.22,6.87,tweak,challenger
Viktor,MID,52.86,0.54,3.89,no change,challenger
Vladimir,MID,65.38,9.49,4.15,no change,challenger
Vladimir,TOP,57.69,9.49,1.92,no change,challenger
Volibear,JUNGLE,47.46,2.66,4.01,no change,challenger
Volibear,TOP,34.48,2.66,3.47,no change,challenger
Wukong,TOP,53.03,5.74,5.46,no change,challenger
Xayah,ADC,39.13,0.06,2.21,buff,challenger
Xerath,MID,56.9,1.22,2.58,no change,challenger
Xerath,SUPPORT,41.94,1.22,2.19,no change,challenger
