,champ,role,winrate,banrate,pickrate
68,Jayce,TOP,49.98,1.18,3.79
69,Jayce,MID,52.89,1.18,1.38
70,Jhin,ADC,52.51,20.27,28.73
71,Jinx,ADC,50.70,0.12,3.10
72,Kai'Sa,ADC,52.96,5.33,28.21
73,Kalista,ADC,48.45,0.21,1.70
74,Kalista,TOP,41.67,0.21,0.24
75,Karma,SUPPORT,46.41,0.22,3.24
76,Karthus,ADC,55.14,1.81,0.42
77,Karthus,JUNGLE,49.47,1.81,1.97
78,Karthus,MID,47.97,1.28,0.32
79,Kassadin,MID,53.44,7.88,4.07
80,Katarina,MID,50.01,21.28,10.53
81,Kayle,TOP,54.79,6.07,3.11
82,Kayle,MID,52.32,6.07,1.17
83,Kayn,JUNGLE,50.07,30.91,10.59
84,Kennen,TOP,53.07,0.34,2.15
85,Kennen,MID,56.92,0.34,0.44
86,Kha'Zix,JUNGLE,53.84,30.71,13.43
87,Kindred,JUNGLE,49.86,1.70,5.31
88,Kled,TOP,50.30,0.91,1.97
89,Kled,MID,54.52,0.91,0.31
90,Kog'Maw,ADC,51.38,0.10,1.05
91,Kog'Maw,MID,48.82,0.11,0.16
92,LeBlanc,MID,49.31,3.38,3.72
93,Lee Sin,JUNGLE,48.72,4.17,13.14
94,Leona,SUPPORT,51.39,25.92,11.29
95,Lillia,JUNGLE,48.78,4.80,7.28
96,Lissandra,MID,53.42,0.35,1.68
97,Lissandra,TOP,50.07,0.36,0.26
98,Lucian,ADC,50.38,8.39,14.68
99,Lucian,MID,48.15,8.39,6.54
100,Lucian,TOP,48.38,8.39,2.89
101,Lulu,SUPPORT,50.61,9.60,10.29
102,Lux,MID,53.24,0.97,3.68
103,Lux,SUPPORT,50.76,0.97,5.47
104,Malphite,TOP,52.75,23.72,9.13
105,Malphite,MID,54.18,23.72,1.75
106,Malzahar,MID,52.20,2.30,2.54
107,Malzahar,TOP,55.84,2.59,0.39
108,Maokai,SUPPORT,54.83,5.05,6.74
109,Maokai,TOP,53.14,5.05,1.73
110,Master Yi,JUNGLE,47.91,12.11,6.54
111,Miss Fortune,ADC,53.75,4.35,14.59
112,Mordekaiser,TOP,50.40,4.99,4.83
113,Mordekaiser,MID,51.04,4.99,0.67
114,Morgana,SUPPORT,50.00,28.33,7.30
115,Morgana,MID,50.60,28.33,1.11
116,Nami,SUPPORT,54.61,0.48,7.73
117,Nasus,TOP,51.36,1.65,3.58
118,Nautilus,SUPPORT,50.69,8.85,7.14
119,Neeko,MID,52.76,0.25,1.43
120,Neeko,TOP,50.77,0.25,0.39
121,Neeko,SUPPORT,52.19,0.27,0.44
122,Nidalee,JUNGLE,48.26,1.27,4.51
123,Nocturne,JUNGLE,47.59,0.56,1.89
124,Nocturne,MID,50.42,0.64,0.29
125,Nunu & Willump,JUNGLE,55.49,11.69,7.11
126,Olaf,JUNGLE,54.65,11.10,6.33
127,Orianna,MID,50.34,0.57,4.59
128,Ornn,TOP,52.33,1.80,5.10
129,Pantheon,TOP,53.12,24.21,3.77
130,Pantheon,MID,54.84,24.21,3.57
131,Pantheon,SUPPORT,47.59,24.21,5.39
132,Pantheon,JUNGLE,53.79,24.21,1.88
133,Poppy,TOP,50.38,0.94,2.33
134,Poppy,JUNGLE,50.10,0.94,1.01
135,Pyke,SUPPORT,45.59,6.13,6.69
136,Pyke,MID,51.26,6.13,1.21
137,Qiyana,MID,48.14,0.55,2.48
138,Quinn,TOP,52.23,1.35,2.04
139,Quinn,MID,54.70,1.35,0.39
140,Rakan,SUPPORT,50.57,0.22,4.75
141,Rammus,JUNGLE,52.45,5.28,2.86
142,Rek'Sai,JUNGLE,51.54,2.12,3.39
143,Rell,SUPPORT,49.24,8.38,5.46
144,Renekton,TOP,49.52,7.81,5.54
145,Renekton,MID,51.73,7.81,1.07
146,Rengar,JUNGLE,50.24,3.73,3.95
147,Rengar,TOP,47.40,3.73,1.56
148,Riven,TOP,50.24,1.97,5.64
149,Riven,MID,58.25,1.97,0.90
150,Rumble,MID,52.97,0.31,1.12
151,Rumble,TOP,48.75,0.31,1.27
152,Ryze,MID,48.49,0.20,2.08
153,Ryze,TOP,46.68,0.20,0.90
154,Samira,ADC,48.24,50.93,10.40
155,Sejuani,JUNGLE,50.01,0.25,2.14
156,Senna,SUPPORT,49.17,1.79,3.92
157,Senna,ADC,48.77,1.79,2.05
158,Seraphine,SUPPORT,53.63,7.85,7.17
159,Seraphine,MID,51.73,7.85,2.05
160,Sett,TOP,49.03,3.39,5.26
161,Sett,MID,49.41,3.39,1.30
162,Sett,SUPPORT,44.54,3.39,3.30
163,Shaco,JUNGLE,48.28,6.46,4.14
164,Shaco,SUPPORT,51.60,6.46,2.34
165,Shen,TOP,51.47,6.44,7.61
166,Shyvana,JUNGLE,43.79,0.15,1.27
167,Singed,TOP,46.63,0.25,1.28
168,Singed,MID,48.90,0.23,0.17
169,Sion,TOP,52.23,0.31,3.06
170,Sion,MID,56.91,0.31,0.40
171,Sivir,ADC,47.88,0.07,1.05
172,Skarner,JUNGLE,55.67,0.27,1.38
173,Skarner,TOP,51.06,0.27,0.20
174,Sona,SUPPORT,54.74,0.08,1.66
175,Soraka,SUPPORT,50.07,0.49,3.38
176,Soraka,ADC,43.24,0.49,0.25
177,Swain,MID,58.15,3.33,0.79
178,Swain,ADC,57.55,3.33,1.07
179,Swain,SUPPORT,48.24,3.33,3.16
180,Sylas,MID,50.68,4.39,6.14
181,Sylas,TOP,49.83,4.39,3.02
182,Syndra,MID,49.99,0.98,3.55
183,Tahm Kench,SUPPORT,45.69,0.24,0.45
184,Tahm Kench,TOP,41.73,0.27,0.66
185,Taliyah,JUNGLE,52.34,6.35,7.11
186,Talon,MID,49.24,1.19,2.75
187,Talon,TOP,53.19,1.19,0.40
188,Taric,MID,55.54,0.27,0.14
189,Taric,SUPPORT,49.43,0.28,1.14
190,Teemo,TOP,52.67,2.70,3.60
191,Teemo,MID,53.68,3.16,0.51
192,Thresh,SUPPORT,50.21,7.22,16.41
193,Tristana,ADC,52.06,1.07,6.72
194,Tristana,MID,55.03,1.07,0.89
195,Trundle,JUNGLE,48.08,0.16,0.63
196,Trundle,TOP,44.68,0.14,0.28
197,Tryndamere,TOP,47.96,1.59,2.04
198,Tryndamere,MID,51.37,1.59,0.41
199,Twisted Fate,MID,52.17,0.41,4.12
200,Twitch,ADC,52.09,1.75,3.37
201,Twitch,JUNGLE,44.68,1.75,0.53
202,Twitch,SUPPORT,44.16,1.75,1.48
203,Udyr,JUNGLE,53.41,1.52,3.23
204,Urgot,TOP,51.10,1.62,3.00
205,Varus,ADC,47.84,0.09,1.84
206,Varus,MID,42.06,0.09,0.26
207,Vayne,ADC,52.90,9.93,11.97
208,Vayne,TOP,52.68,9.93,1.99
209,Veigar,ADC,51.70,0.47,0.43
210,Veigar,MID,48.57,0.42,1.77
211,Veigar,SUPPORT,44.29,0.47,0.39
212,Vel'Koz,MID,51.18,0.34,1.18
213,Vel'Koz,SUPPORT,48.06,0.34,1.63
214,Vi,JUNGLE,51.47,0.50,3.46
215,Viktor,MID,55.06,3.05,6.26
216,Vladimir,MID,51.15,4.88,3.36
217,Vladimir,TOP,48.91,4.88,2.29
218,Volibear,TOP,52.19,2.17,3.50
219,Volibear,JUNGLE,47.15,2.17,1.75
220,Warwick,JUNGLE,48.58,0.53,2.48
221,Warwick,TOP,46.00,0.53,0.67
222,Wukong,TOP,54.13,1.53,3.74
223,Wukong,MID,56.08,1.53,0.56
224,Wukong,JUNGLE,51.95,1.53,0.83
225,Xayah,ADC,49.48,0.18,3.25
226,Xerath,MID,51.26,1.35,2.22
227,Xerath,SUPPORT,50.23,1.35,3.08
228,Xin Zhao,TOP,54.62,0.16,0.16
229,Xin Zhao,JUNGLE,49.12,0.15,1.58
230,Yasuo,MID,50.18,18.43,9.22
231,Yasuo,TOP,49.93,18.43,2.88
232,Yasuo,ADC,49.99,18.43,2.26
233,Yone,MID,51.23,18.42,10.72
234,Yone,TOP,51.99,18.42,3.27
235,Yorick,MID,52.73,0.56,0.15
236,Yorick,TOP,47.32,0.44,1.05
237,Yuumi,SUPPORT,49.29,8.95,8.29
238,Zac,JUNGLE,48.93,1.42,3.05
239,Zac,TOP,50.06,1.42,0.39
240,Zed,MID,50.57,29.43,9.50
241,Ziggs,MID,53.01,0.13,1.16
242,Ziggs,ADC,54.11,0.13,0.44
243,Zilean,SUPPORT,53.22,0.48,2.28
244,Zilean,MID,52.49,0.48,0.40
245,Zoe,MID,50.46,2.51,3.98
246,Zyra,SUPPORT,48.41,0.89,2.53
