,champ,role,winrate,banrate,pickrate
53,Gnar,TOP,48.45,0.81,2.49
54,Gragas,JUNGLE,46.51,0.39,2.74
55,Graves,JUNGLE,49.46,0.43,3.04
56,Hecarim,JUNGLE,48.98,1.80,3.52
57,Heimerdinger,MID,52.10,3.46,1.59
58,Heimerdinger,TOP,49.78,3.46,1.22
59,Heimerdinger,ADC,51.96,3.46,1.51
60,Illaoi,TOP,50.37,10.87,4.19
61,Irelia,TOP,45.33,4.75,5.07
62,Irelia,MID,45.44,4.75,3.91
63,Ivern,JUNGLE,49.51,0.30,0.75
64,Ivern,SUPPORT,45.09,0.30,0.08
65,Janna,SUPPORT,52.23,0.33,4.39
66,Jarvan IV,JUNGLE,51.03,1.64,5.83
67,Jax,JUNGLE,51.17,14.39,7.14
68,Jax,TOP,49.73,14.39,4.76
69,Jayce,MID,46.94,0.36,0.49
70,Jayce,TOP,44.93,0.36,1.11
71,Jhin,ADC,51.11,4.63,15.49
72,Jinx,ADC,50.98,2.94,14.01
73,Kai'Sa,ADC,47.57,5.32,16.70
74,Kalista,ADC,45.00,0.24,1.40
75,Karma,MID,49.05,0.45,0.55
76,Karma,SUPPORT,48.22,0.45,4.03
77,Karthus,JUNGLE,49.05,0.49,1.23
78,Karthus,MID,49.07,0.49,0.30
79,Kassadin,MID,50.87,5.92,4.96
80,Katarina,MID,49.63,7.41,7.98
81,Kayle,TOP,51.54,1.58,3.02
82,Kayle,MID,52.04,1.58,0.58
83,Kayn,JUNGLE,49.74,5.49,8.72
84,Kennen,MID,52.11,0.79,0.44
85,Kennen,TOP,49.42,0.79,1.89
86,Kha'Zix,JUNGLE,48.95,4.68,7.23
87,Kindred,JUNGLE,48.04,0.45,2.27
88,Kled,MID,54.14,2.71,0.39
89,Kled,TOP,50.68,2.71,2.39
90,Kog'Maw,ADC,51.72,0.16,1.34
91,LeBlanc,MID,47.36,8.14,4.79
92,Lee Sin,JUNGLE,47.33,23.82,24.43
93,Leona,SUPPORT,51.01,17.80,11.78
94,Lissandra,MID,49.07,0.45,1.44
95,Lissandra,TOP,49.59,0.45,0.23
96,Lucian,ADC,48.70,3.19,13.13
97,Lulu,SUPPORT,49.85,1.35,4.52
98,Lux,SUPPORT,49.19,5.38,12.74
99,Lux,MID,52.07,5.38,6.25
100,Malphite,TOP,52.53,4.41,4.54
101,Malphite,MID,53.16,4.41,1.47
102,Malphite,JUNGLE,49.57,4.41,1.74
103,Malphite,SUPPORT,49.48,4.41,3.62
104,Malzahar,MID,52.61,5.94,3.38
105,Malzahar,TOP,51.81,5.94,0.44
106,Maokai,TOP,51.69,0.19,1.14
107,Maokai,JUNGLE,51.23,0.19,0.27
108,Maokai,SUPPORT,52.29,0.19,0.67
109,Master Yi,JUNGLE,52.72,27.23,14.05
110,Miss Fortune,ADC,51.25,3.76,13.96
111,Mordekaiser,TOP,52.73,28.80,13.33
112,Mordekaiser,MID,56.02,28.80,2.33
113,Morgana,SUPPORT,49.44,35.18,12.69
114,Nami,SUPPORT,51.45,0.40,4.90
115,Nasus,TOP,52.91,6.09,6.94
116,Nautilus,SUPPORT,51.25,25.28,11.92
117,Neeko,MID,50.05,0.91,2.29
118,Neeko,SUPPORT,47.61,0.91,1.09
119,Nidalee,JUNGLE,45.04,0.59,3.68
120,Nocturne,JUNGLE,51.55,8.47,6.70
121,Nocturne,MID,51.70,8.47,1.22
122,Nunu & Willump,JUNGLE,52.13,0.59,2.88
123,Olaf,JUNGLE,49.93,11.68,6.85
124,Olaf,TOP,47.30,11.68,1.41
125,Orianna,MID,49.84,0.67,3.80
126,Ornn,TOP,52.46,2.61,4.89
127,Pantheon,MID,48.56,2.62,0.86
128,Pantheon,TOP,45.41,2.62,2.17
129,Pantheon,JUNGLE,45.44,2.62,1.30
130,Poppy,JUNGLE,48.74,0.38,0.62
131,Poppy,TOP,47.94,0.38,1.55
132,Poppy,SUPPORT,46.47,0.38,0.38
133,Pyke,SUPPORT,47.50,20.72,11.06
134,Qiyana,MID,45.63,4.35,3.45
135,Qiyana,JUNGLE,39.34,4.35,1.57
136,Quinn,MID,52.58,2.96,0.47
137,Quinn,TOP,50.52,2.96,2.83
138,Rakan,SUPPORT,50.21,0.73,5.06
139,Rammus,JUNGLE,52.84,5.09,3.25
140,Rek'Sai,JUNGLE,48.88,0.98,2.25
141,Renekton,TOP,47.93,6.83,6.10
142,Renekton,MID,51.95,6.83,1.04
143,Rengar,TOP,49.07,3.26,1.77
144,Rengar,JUNGLE,45.95,3.26,3.71
145,Riven,MID,50.51,1.81,0.74
146,Riven,TOP,46.60,1.81,4.69
147,Rumble,MID,54.74,0.51,0.80
148,Rumble,TOP,49.74,0.51,1.54
149,Ryze,MID,46.80,6.80,6.75
150,Ryze,TOP,46.08,6.80,4.52
151,Sejuani,JUNGLE,47.46,0.28,1.39
152,Senna,SUPPORT,48.61,35.16,11.26
153,Senna,ADC,49.23,35.16,3.59
154,Shaco,JUNGLE,51.47,12.35,6.28
155,Shaco,SUPPORT,52.20,12.35,1.38
156,Shen,TOP,51.60,0.41,3.40
157,Shen,SUPPORT,48.91,0.41,0.82
158,Shyvana,JUNGLE,49.96,0.45,2.12
159,Singed,TOP,52.18,0.54,2.32
160,Sion,TOP,50.70,0.17,1.41
161,Sion,SUPPORT,48.35,0.17,0.24
162,Sivir,ADC,48.88,0.59,3.39
163,Skarner,TOP,50.93,0.12,0.23
164,Skarner,JUNGLE,49.51,0.12,0.68
165,Sona,SUPPORT,51.23,0.22,2.84
166,Soraka,SUPPORT,52.96,2.01,10.02
167,Swain,MID,54.08,2.69,1.13
168,Swain,SUPPORT,52.33,2.69,3.94
169,Swain,TOP,51.21,2.69,0.75
170,Sylas,MID,43.30,1.16,1.86
171,Sylas,TOP,42.40,1.16,0.50
172,Sylas,JUNGLE,40.81,1.16,0.38
173,Syndra,MID,48.82,1.57,3.89
174,Tahm Kench,TOP,46.84,0.38,0.47
175,Tahm Kench,SUPPORT,43.72,0.38,0.77
176,Taliyah,MID,48.19,0.08,0.23
177,Taliyah,JUNGLE,47.22,0.08,0.53
178,Talon,MID,48.10,4.93,5.20
179,Taric,SUPPORT,53.36,0.20,1.63
180,Teemo,TOP,52.29,12.55,7.75
181,Thresh,SUPPORT,48.06,6.74,16.12
182,Tristana,ADC,48.72,2.21,8.62
183,Tristana,MID,48.54,2.21,1.14
184,Trundle,JUNGLE,50.84,0.26,1.58
185,Trundle,TOP,48.36,0.26,0.78
186,Tryndamere,TOP,48.77,6.52,5.38
187,Tryndamere,JUNGLE,47.67,6.52,1.01
188,Twisted Fate,MID,48.93,0.31,2.92
189,Twitch,ADC,49.99,1.16,2.79
190,Twitch,JUNGLE,44.86,1.16,2.36
191,Udyr,JUNGLE,50.76,1.05,2.47
192,Urgot,TOP,51.84,2.82,3.45
193,Varus,ADC,48.09,0.40,4.16
194,Vayne,ADC,50.01,11.44,12.65
195,Vayne,TOP,48.21,11.44,2.98
196,Veigar,MID,51.79,4.46,6.42
197,Veigar,SUPPORT,48.52,4.46,1.96
198,Vel'Koz,MID,52.61,0.81,1.65
199,Vel'Koz,SUPPORT,50.88,0.81,2.53
200,Vi,JUNGLE,52.17,1.23,5.44
201,Viktor,MID,51.38,0.21,1.41
202,Viktor,TOP,51.69,0.21,0.25
203,Vladimir,MID,49.78,8.16,4.53
204,Vladimir,TOP,47.86,8.16,4.09
205,Volibear,JUNGLE,52.80,0.92,2.56
206,Volibear,TOP,51.90,0.92,1.23
207,Volibear,SUPPORT,49.09,0.92,0.45
208,Warwick,JUNGLE,52.43,5.01,10.01
209,Wukong,MID,54.65,0.27,0.44
210,Wukong,TOP,49.52,0.27,0.55
211,Wukong,JUNGLE,47.47,0.27,1.13
212,Xayah,ADC,47.90,2.41,7.21
213,Xerath,MID,50.71,1.34,2.53
214,Xerath,SUPPORT,50.26,1.34,2.39
215,Xin Zhao,JUNGLE,49.16,0.85,4.12
216,Yasuo,MID,50.50,49.51,16.61
217,Yasuo,TOP,50.38,49.51,5.80
218,Yasuo,ADC,52.12,49.51,2.69
219,Yorick,TOP,53.38,1.77,2.78
220,Yuumi,SUPPORT,47.08,2.74,3.65
221,Zac,JUNGLE,52.25,1.11,3.42
222,Zed,MID,48.41,37.16,11.74
223,Ziggs,MID,49.97,0.20,1.47
224,Ziggs,SUPPORT,47.07,0.20,0.27
225,Zilean,MID,53.32,0.51,0.43
226,Zilean,SUPPORT,51.02,0.51,2.17
227,Zoe,MID,47.37,1.95,2.77
228,Zyra,SUPPORT,51.79,2.22,3.89
